1
全球发出警示！请传出去！ 隐翅虫，在你身上时绝对不要打，她身上有毒液，接触到皮肤，就死定了！ 跟你的孩 子、朋友讲，万一身上有这虫，用嘴巴轻轻 吹走就好。绝对不要用手打. 医师强调,如果 每个收到这份微博的人,能够转发十份给其他人,肯定至少有一条生命将会被挽救回来,请转发！
[0.5048730373382568, 0.5268092155456543, 0.4945209324359894, 0.4100837707519531, 0.5616785287857056]
[0.4094037711620331, 0.5540966987609863, 0.4549146592617035, 0.2914220988750458, 0.4625578224658966]
[0.46892768144607544, 0.5463552474975586, 0.44526663422584534, 0.29065388441085815, 0.5115001201629639]
[0.3848751485347748, 0.5591294765472412, 0.4657179117202759, 0.3035174310207367, 0.4413551688194275]
[0.4887163043022156, 0.5641694068908691, 0.42268940806388855, 0.2847479283809662, 0.5213229060173035]
[0.4094037711620331, 0.5540966987609863, 0.4549146592617035, 0.2914220988750458, 0.4625578224658966]
[0.4094037711620331, 0.5540966987609863, 0.4549146592617035, 0.2914220988750458, 0.4625578224658966]
[0.4887163043022156, 0.5641694068908691, 0.42268940806388855, 0.2847479283809662, 0.5213229060173035]
[0.4887163043022156, 0.5641694068908691, 0.42268940806388855, 0.2847479283809662, 0.5213229060173035]
[0.4887163043022156, 0.5641694068908691, 0.42268940806388855, 0.2847479283809662, 0.5213229060173035]
[0.4887163043022156, 0.5641694068908691, 0.42268940806388855, 0.2847479283809662, 0.5213229060173035]
[0.4887163043022156, 0.5641694068908691, 0.42268940806388855, 0.2847479283809662, 0.5213229060173035]
[0.4887163043022156, 0.5641694068908691, 0.42268940806388855, 0.2847479283809662, 0.5213229060173035]
[0.4887163043022156, 0.5641694068908691, 0.42268940806388855, 0.2847479283809662, 0.5213229060173035]
[0.48778510093688965, 0.5849871635437012, 0.4428292214870453, 0.2827754020690918, 0.5201600790023804]
[0.4887163043022156, 0.5641694068908691, 0.42268940806388855, 0.2847479283809662, 0.5213229060173035]
[0.46892768144607544, 0.5463552474975586, 0.44526663422584534, 0.29065388441085815, 0.5115001201629639]
[0.38944318890571594, 0.538166344165802, 0.45992010831832886, 0.3218183219432831, 0.4420962333679199]
[0.4818546772003174, 0.5671708583831787, 0.4427948296070099, 0.3154818117618561, 0.5104961395263672]
