1
君子坦荡荡,小人玩红霞；商女不知亡国恨,一天到晚玩红霞；举头望明月,低头玩红霞；洛阳亲友如相问，就说我在玩红霞；少壮不努力，老大玩红霞；垂死病中惊坐起,今天还想玩红霞；生当作人杰，死亦玩红霞；人生自古谁无死，来生继续玩红霞；众里寻他千百度，蓦然回首，那人正在玩红霞。
[0.5864941477775574, 0.5237423777580261, 0.4588377773761749, 0.30223777890205383, 0.5870857238769531]
[0.47020450234413147, 0.5642296075820923, 0.41530641913414, 0.26584920287132263, 0.5499448776245117]
[0.5158252716064453, 0.5606403946876526, 0.4325887858867645, 0.2806564271450043, 0.5039316415786743]
[0.5188214778900146, 0.5816794633865356, 0.42299139499664307, 0.2796914279460907, 0.5526580810546875]
[0.5110659599304199, 0.5553088188171387, 0.4440801441669464, 0.2732747793197632, 0.5033047795295715]
[0.5174700021743774, 0.572156548500061, 0.43437066674232483, 0.24025607109069824, 0.5380253195762634]
[0.4976021647453308, 0.5381326675415039, 0.46751028299331665, 0.33061209321022034, 0.557499885559082]
[0.4193554222583771, 0.5237188935279846, 0.47154539823532104, 0.3258609473705292, 0.4823600649833679]
[0.49201929569244385, 0.5699661374092102, 0.44004565477371216, 0.2927432060241699, 0.5353162288665771]
[0.5643379092216492, 0.5553118586540222, 0.3968229293823242, 0.24513010680675507, 0.5983496308326721]
[0.5126996636390686, 0.5665900111198425, 0.4062109589576721, 0.25069478154182434, 0.5495201349258423]
[0.548876941204071, 0.5580195188522339, 0.41894209384918213, 0.27459293603897095, 0.5536695122718811]
[0.5193629860877991, 0.5856478810310364, 0.41173920035362244, 0.282301664352417, 0.5441094636917114]
[0.5785005688667297, 0.5653302669525146, 0.38601934909820557, 0.22765426337718964, 0.5923658609390259]
[0.40204447507858276, 0.5416346192359924, 0.45993679761886597, 0.3350541889667511, 0.4363144636154175]
[0.549508810043335, 0.5365940928459167, 0.4343112111091614, 0.28720173239707947, 0.552846372127533]
[0.5216172337532043, 0.579474687576294, 0.4264985918998718, 0.2799372673034668, 0.5416284203529358]
[0.4432520866394043, 0.543554961681366, 0.4483567178249359, 0.29623955488204956, 0.4699077904224396]
[0.5351221561431885, 0.5999716520309448, 0.4095594584941864, 0.2588384449481964, 0.570581316947937]
[0.5004656314849854, 0.5393414497375488, 0.4835919141769409, 0.3523523211479187, 0.5308127403259277]
[0.4586571455001831, 0.5335298776626587, 0.48419585824012756, 0.36383256316185, 0.4639260172843933]
[0.5468059182167053, 0.5137308239936829, 0.4917019307613373, 0.3807436525821686, 0.578609824180603]
[0.4157874286174774, 0.5250136852264404, 0.47649484872817993, 0.35319846868515015, 0.468471497297287]
[0.500857949256897, 0.5617015957832336, 0.42987868189811707, 0.30265700817108154, 0.490657240152359]
[0.5177729725837708, 0.5833643078804016, 0.40603089332580566, 0.2730325162410736, 0.5234096646308899]
[0.5291869640350342, 0.5498981475830078, 0.45328840613365173, 0.3156454265117645, 0.5327198505401611]
[0.5811535120010376, 0.5676591992378235, 0.4199044406414032, 0.2807519733905792, 0.5670136213302612]
[0.5609762668609619, 0.5838772654533386, 0.42244479060173035, 0.26730331778526306, 0.5768412947654724]
[0.5248090624809265, 0.5724073648452759, 0.42568403482437134, 0.2948850989341736, 0.5347131490707397]
[0.541630744934082, 0.5390926599502563, 0.44732558727264404, 0.2930087745189667, 0.5685577392578125]
[0.4776846170425415, 0.5496041774749756, 0.42520105838775635, 0.30509257316589355, 0.505850613117218]
[0.4662599563598633, 0.5713739395141602, 0.423114538192749, 0.2886209487915039, 0.5112483501434326]
[0.4540005326271057, 0.5689398050308228, 0.4277561902999878, 0.30076172947883606, 0.4726073741912842]
[0.5374296307563782, 0.5887832045555115, 0.3960478901863098, 0.23142355680465698, 0.5705079436302185]
[0.5508576035499573, 0.5999795198440552, 0.3969241976737976, 0.24873830378055573, 0.5694661140441895]
[0.4504115581512451, 0.5631017684936523, 0.43195581436157227, 0.2838234305381775, 0.4735732078552246]
[0.4924863576889038, 0.5366724133491516, 0.43967506289482117, 0.2728268504142761, 0.49772587418556213]
[0.5062645673751831, 0.5739823579788208, 0.43355897068977356, 0.27492210268974304, 0.5137119889259338]
[0.4569450914859772, 0.5743542909622192, 0.42444950342178345, 0.27749526500701904, 0.5205540060997009]
[0.5009909868240356, 0.5633718967437744, 0.4266560673713684, 0.3195543587207794, 0.5239677429199219]
[0.576934814453125, 0.5839177370071411, 0.4112482964992523, 0.25470930337905884, 0.5696976184844971]
[0.4234469532966614, 0.5514887571334839, 0.46582725644111633, 0.3061557710170746, 0.45779719948768616]
[0.47292032837867737, 0.5565345883369446, 0.4452080726623535, 0.3192826807498932, 0.5000295639038086]
[0.3569364547729492, 0.52611243724823, 0.44501104950904846, 0.3311977982521057, 0.4305807054042816]
[0.5714856386184692, 0.5813449621200562, 0.39496734738349915, 0.2296571135520935, 0.5891399383544922]
[0.48604968190193176, 0.5686357617378235, 0.4624164402484894, 0.32484591007232666, 0.5167813897132874]
[0.31818443536758423, 0.52577805519104, 0.5183670520782471, 0.4342377185821533, 0.49541255831718445]
[0.4386104941368103, 0.5290318131446838, 0.46873903274536133, 0.3447120189666748, 0.4782170355319977]
[0.4947642385959625, 0.5550653338432312, 0.45218348503112793, 0.3002224862575531, 0.5249380469322205]
