1
【地球都哭了！！请为一个喊冤的老妇人转发！】20日河南洛阳,57岁的妇人孙爱云脱光衣服站在法院的车上喊冤。20年前她的弟弟被杀害,凶手至今逍遥法外,她自己反而因告状而多次被拘留劳教。 ——是什么！让一个普通公民被逼用撕破自己尊严来抗议不公！？有心者,请您帮她转发扩散下
[0.5188453197479248, 0.5290238857269287, 0.4889028072357178, 0.380298376083374, 0.5255407691001892]
[0.47330814599990845, 0.5877501964569092, 0.4263869822025299, 0.2698531150817871, 0.5234391093254089]
[0.5196149349212646, 0.5272888541221619, 0.4685504138469696, 0.33895429968833923, 0.551393449306488]
[0.528118908405304, 0.5852379202842712, 0.43063226342201233, 0.2623966634273529, 0.5555712580680847]
[0.45596009492874146, 0.5807764530181885, 0.45526495575904846, 0.3105580806732178, 0.4462951719760895]
[0.49857795238494873, 0.579993486404419, 0.42209041118621826, 0.2911238968372345, 0.5099926590919495]
[0.525310218334198, 0.5718317627906799, 0.4185873568058014, 0.29020220041275024, 0.5265846848487854]
[0.5151197910308838, 0.5367597937583923, 0.4283277988433838, 0.3200567960739136, 0.5412864685058594]
[0.5546712875366211, 0.5657048225402832, 0.4198007583618164, 0.28183209896087646, 0.559619128704071]
[0.5120616555213928, 0.5674368739128113, 0.42400893568992615, 0.29691082239151, 0.5647271871566772]
[0.4432649314403534, 0.5797301530838013, 0.43397948145866394, 0.27550628781318665, 0.49076735973358154]
[0.5365170240402222, 0.5743951201438904, 0.4109225273132324, 0.27023524045944214, 0.5410159826278687]
[0.5113553404808044, 0.5731474757194519, 0.43681612610816956, 0.2998273968696594, 0.551726758480072]
[0.5363984107971191, 0.5746716260910034, 0.43050700426101685, 0.2908429801464081, 0.5536441802978516]
