1
【中国特种兵】抗战时国军一新兵的枪被同伴收起来了。他以为枪没了,吓了一身冷汗。于是趁天黑摸到鬼子的阵地干死几个鬼子拿了3支步枪和一挺机枪就往回跑,在回跑的过程中竟然还击毙了8名日本鬼子。他这次私下行动一共打伤打死23名鬼子,简直就是奇迹。后来被授予青天白日奖章,此人乃中国特种兵的始祖。转
[0.47014936804771423, 0.5239408016204834, 0.5182455778121948, 0.4443790912628174, 0.5156823992729187]
[0.5414400100708008, 0.5889288187026978, 0.44634202122688293, 0.2846674621105194, 0.5364828705787659]
[0.4032866060733795, 0.5506540536880493, 0.4688342809677124, 0.3069610297679901, 0.45540106296539307]
[0.4487622082233429, 0.5716210603713989, 0.4600348174571991, 0.3031274080276489, 0.45275557041168213]
[0.5380807518959045, 0.5566836595535278, 0.4248559772968292, 0.29648035764694214, 0.5558973550796509]
[0.44901958107948303, 0.5320332050323486, 0.480179101228714, 0.3805118501186371, 0.49115023016929626]
[0.535548985004425, 0.5743044018745422, 0.4219232201576233, 0.27131181955337524, 0.5345061421394348]
[0.52777099609375, 0.5749369859695435, 0.4504243731498718, 0.274231880903244, 0.5622520446777344]
[0.39839619398117065, 0.5446767210960388, 0.46606385707855225, 0.3291831612586975, 0.4351182281970978]
[0.48658931255340576, 0.5713231563568115, 0.43116360902786255, 0.2809716761112213, 0.5128644704818726]
[0.4487622082233429, 0.5716210603713989, 0.4600348174571991, 0.3031274080276489, 0.45275557041168213]
[0.4424379765987396, 0.56609708070755, 0.4588058888912201, 0.3051064908504486, 0.49648815393447876]
[0.5325873494148254, 0.5880876183509827, 0.42129048705101013, 0.2533036768436432, 0.5475322008132935]
[0.41890424489974976, 0.5850306153297424, 0.4443127512931824, 0.2831730246543884, 0.47026100754737854]
[0.5976311564445496, 0.5818630456924438, 0.41565871238708496, 0.2563009560108185, 0.5840166211128235]
[0.5005602836608887, 0.5605799555778503, 0.4292316436767578, 0.28732070326805115, 0.5079936981201172]
[0.4743848443031311, 0.5717560052871704, 0.43707066774368286, 0.2985467314720154, 0.5021073222160339]
[0.4852905869483948, 0.5836603045463562, 0.4194885492324829, 0.27218443155288696, 0.5109893679618835]
[0.5370463132858276, 0.5513045191764832, 0.4427829384803772, 0.3082695007324219, 0.5316916704177856]
[0.5167405605316162, 0.6007897853851318, 0.43933215737342834, 0.25167369842529297, 0.5216808915138245]
[0.4997731149196625, 0.5611209869384766, 0.4694764018058777, 0.34254729747772217, 0.48064136505126953]
[0.5177257061004639, 0.5922917127609253, 0.4318535327911377, 0.26215502619743347, 0.5148770809173584]
[0.49060526490211487, 0.5544685125350952, 0.43561670184135437, 0.307941734790802, 0.4866839349269867]
[0.46671000123023987, 0.5708546042442322, 0.434116393327713, 0.27764928340911865, 0.4900951087474823]
[0.5405516624450684, 0.5923499464988708, 0.41900426149368286, 0.26776623725891113, 0.5350525379180908]
[0.5439016222953796, 0.5897067785263062, 0.41165006160736084, 0.27500906586647034, 0.5428767204284668]
[0.5726563334465027, 0.5707187056541443, 0.40278831124305725, 0.26272568106651306, 0.5788623094558716]
[0.46151554584503174, 0.5438673496246338, 0.45694664120674133, 0.3041914701461792, 0.5016605257987976]
[0.4655172526836395, 0.551673173904419, 0.4799751341342926, 0.3221196234226227, 0.49589022994041443]
[0.5963955521583557, 0.5000938773155212, 0.47141948342323303, 0.35600805282592773, 0.6046545505523682]
[0.5422282814979553, 0.5863180160522461, 0.40551844239234924, 0.2753317654132843, 0.556081235408783]
[0.5084879398345947, 0.5770542025566101, 0.4645078182220459, 0.32863232493400574, 0.5140572190284729]
[0.4421232044696808, 0.5660873055458069, 0.4357009530067444, 0.2962573766708374, 0.5051742196083069]
[0.49879133701324463, 0.5301677584648132, 0.46972891688346863, 0.35416531562805176, 0.4916154742240906]
[0.5259250402450562, 0.5812091827392578, 0.4084799587726593, 0.24927344918251038, 0.5521416068077087]
[0.44946807622909546, 0.5599790215492249, 0.44416943192481995, 0.28305429220199585, 0.49575793743133545]
[0.4642949402332306, 0.5496201515197754, 0.48672839999198914, 0.3463687598705292, 0.5428013801574707]
[0.43843716382980347, 0.5501427054405212, 0.4584742486476898, 0.3142523765563965, 0.44327014684677124]
[0.5108221769332886, 0.5431157946586609, 0.4562702178955078, 0.2978319227695465, 0.5177095532417297]
