1
【鸟叔上春晚1分要10万！网友愤怒】凭《江南Style》风靡全球的韩国明星"鸟叔"朴载相,近日接到春晚邀请。"鸟叔"给出的最新演出费1分钟10万元,除外还要包专机接送。有网友愤怒:"花这么多钱请个韩国人唱两句谁也听不懂的鸟语,远远不如把这些钱给西部贫困山区来得实在!"(金鹰网)PS:过分,让小沈阳跳多好!
[0.4942565858364105, 0.5303238034248352, 0.46110883355140686, 0.34830495715141296, 0.55638587474823]
[0.5765193104743958, 0.5681768655776978, 0.40247756242752075, 0.22790557146072388, 0.5804861187934875]
[0.472266286611557, 0.5753603577613831, 0.4277140200138092, 0.2976524829864502, 0.49176645278930664]
[0.4826856851577759, 0.5381562113761902, 0.46553462743759155, 0.35468170046806335, 0.5273209810256958]
[0.41136911511421204, 0.5361317992210388, 0.45061078667640686, 0.3051789104938507, 0.4773057699203491]
[0.495827853679657, 0.5745423436164856, 0.42716312408447266, 0.2710915505886078, 0.5196000933647156]
[0.47140762209892273, 0.5325049757957458, 0.48425886034965515, 0.3773668706417084, 0.5053147077560425]
[0.45232412219047546, 0.5623311400413513, 0.4614505469799042, 0.3521365523338318, 0.49416249990463257]
[0.5279368758201599, 0.5752585530281067, 0.42265084385871887, 0.2663765251636505, 0.5291021466255188]
[0.5026341080665588, 0.5658720135688782, 0.43116772174835205, 0.3032306134700775, 0.49801698327064514]
[0.5147013068199158, 0.555668830871582, 0.46574366092681885, 0.34259873628616333, 0.5104121565818787]
[0.5376793146133423, 0.5694484114646912, 0.43166881799697876, 0.3003058135509491, 0.5319375991821289]
[0.4406915605068207, 0.5339391827583313, 0.49523094296455383, 0.3338053822517395, 0.4678612947463989]
[0.4862557351589203, 0.5796566009521484, 0.44564101099967957, 0.29507845640182495, 0.530857503414154]
[0.5103392004966736, 0.5793243050575256, 0.41306543350219727, 0.26460596919059753, 0.5426873564720154]
[0.5137887001037598, 0.5678020715713501, 0.42501160502433777, 0.26727718114852905, 0.544629693031311]
[0.4764918088912964, 0.5351294279098511, 0.467589408159256, 0.3574100136756897, 0.4859417974948883]
[0.5181060433387756, 0.608632504940033, 0.438276469707489, 0.28479206562042236, 0.5111607909202576]
[0.486604779958725, 0.5683810114860535, 0.43849194049835205, 0.28940755128860474, 0.508350670337677]
[0.4958748519420624, 0.5619490742683411, 0.4556773006916046, 0.33861860632896423, 0.5157896280288696]
[0.469094842672348, 0.5773546099662781, 0.4394490718841553, 0.2989788055419922, 0.523014485836029]
[0.522879421710968, 0.5897886753082275, 0.4174126982688904, 0.2696293592453003, 0.5491847395896912]
[0.4720747470855713, 0.5704756379127502, 0.4389868378639221, 0.31453070044517517, 0.4835365116596222]
[0.574074387550354, 0.5534380078315735, 0.42660582065582275, 0.31011876463890076, 0.5824194550514221]
[0.5025724768638611, 0.566450297832489, 0.4078269898891449, 0.26530101895332336, 0.5566017031669617]
[0.32230567932128906, 0.5526045560836792, 0.45014631748199463, 0.3056265711784363, 0.430368572473526]
[0.4498993754386902, 0.5924889445304871, 0.44785770773887634, 0.29112181067466736, 0.4927842915058136]
[0.48487022519111633, 0.5673204064369202, 0.4146808087825775, 0.2478528618812561, 0.5487129092216492]
[0.5445119738578796, 0.5843786597251892, 0.41506728529930115, 0.25699159502983093, 0.5592021942138672]
[0.43464118242263794, 0.5129747986793518, 0.5318431258201599, 0.4728412330150604, 0.4979333281517029]
[0.5322744846343994, 0.5642908811569214, 0.42703452706336975, 0.2763025164604187, 0.5505855679512024]
[0.4768863916397095, 0.5682504177093506, 0.4405355751514435, 0.3084055781364441, 0.5189369320869446]
[0.5133437514305115, 0.573829174041748, 0.42937058210372925, 0.2850245535373688, 0.5389575362205505]
[0.5527135729789734, 0.5735700130462646, 0.4174261689186096, 0.26728641986846924, 0.5371688604354858]
[0.47542381286621094, 0.5319775938987732, 0.49305644631385803, 0.40013450384140015, 0.527576744556427]
[0.5157235264778137, 0.569208025932312, 0.4392683804035187, 0.2947034537792206, 0.540262758731842]
[0.42082104086875916, 0.533720076084137, 0.4624963402748108, 0.30572864413261414, 0.49734237790107727]
[0.521691083908081, 0.5878927707672119, 0.4193263351917267, 0.279192179441452, 0.5255200266838074]
[0.4843078553676605, 0.564971923828125, 0.4804346561431885, 0.3422517478466034, 0.49175935983657837]
[0.46362432837486267, 0.5657642483711243, 0.4306063652038574, 0.3021548092365265, 0.5008140206336975]
[0.5403327941894531, 0.5504721403121948, 0.4152403771877289, 0.2679222524166107, 0.5362056493759155]
[0.47943341732025146, 0.5268319845199585, 0.4691232144832611, 0.350254625082016, 0.5223789215087891]
[0.4316312372684479, 0.5377832055091858, 0.45859771966934204, 0.34030693769454956, 0.4720276892185211]
[0.4739292860031128, 0.5476093888282776, 0.44496291875839233, 0.3111323416233063, 0.5091089010238647]
[0.4863724112510681, 0.5925406813621521, 0.43645110726356506, 0.3030126392841339, 0.5043755173683167]
[0.5147300958633423, 0.569141149520874, 0.44809427857398987, 0.29373982548713684, 0.5124170184135437]
[0.5212326645851135, 0.5314791798591614, 0.437259703874588, 0.30719804763793945, 0.5540872812271118]
[0.4148287773132324, 0.5378189086914062, 0.46071144938468933, 0.30308061838150024, 0.43996918201446533]
[0.5391624569892883, 0.5790917873382568, 0.4268307089805603, 0.27021324634552, 0.534077525138855]
[0.49664145708084106, 0.5298218131065369, 0.4571727514266968, 0.3501533269882202, 0.5324427485466003]
[0.5129532814025879, 0.546282172203064, 0.4521217942237854, 0.3373410403728485, 0.5438191890716553]
[0.48394131660461426, 0.5633136034011841, 0.42396512627601624, 0.27842238545417786, 0.5382046103477478]
