1
【魔都离婚率为神马高?】瑞典研究:如果夫妻中有一人每天上下班路程花费45分钟以上,回家时就会因过于疲劳而无法分担家务.而另一方会有被忽视的感觉.冲突便逐渐增加; 那些要花很长时间乘车或驾车上下班的人和配偶离婚的可能性比其他人要高出40%..上海离婚率全国排名第2,高达38%;再看看拥堵程度,准阿!!!
[0.40473440289497375, 0.5360534191131592, 0.5392678380012512, 0.4157673120498657, 0.49428391456604004]
[0.44642502069473267, 0.566419780254364, 0.4515945017337799, 0.30532217025756836, 0.4491609036922455]
[0.5197135210037231, 0.5609670877456665, 0.44910404086112976, 0.3145027756690979, 0.5229550004005432]
[0.44894441962242126, 0.5483385324478149, 0.4796701669692993, 0.33158665895462036, 0.4632936418056488]
[0.49757635593414307, 0.5346235036849976, 0.4563789665699005, 0.32177481055259705, 0.4980911314487457]
[0.4699923098087311, 0.5069119334220886, 0.5088083148002625, 0.45020952820777893, 0.45179930329322815]
[0.43495047092437744, 0.5737831592559814, 0.4331035614013672, 0.27431198954582214, 0.4765666425228119]
[0.45014330744743347, 0.5418218374252319, 0.4910524785518646, 0.34862178564071655, 0.4796808063983917]
[0.5443722009658813, 0.5392414927482605, 0.46816757321357727, 0.3263629376888275, 0.5277759432792664]
[0.5511913299560547, 0.5317384600639343, 0.4711935520172119, 0.34597113728523254, 0.5225072503089905]
[0.5300501585006714, 0.5488086938858032, 0.47604477405548096, 0.3386361598968506, 0.5403046607971191]
[0.4461449384689331, 0.5155283808708191, 0.5034756064414978, 0.4085954427719116, 0.4552944302558899]
[0.5220195055007935, 0.5497927665710449, 0.4464930593967438, 0.2902156412601471, 0.5065308213233948]
[0.5040035247802734, 0.5719863772392273, 0.43091994524002075, 0.27657848596572876, 0.5261465907096863]
[0.5475045442581177, 0.5492641925811768, 0.4583275020122528, 0.305855929851532, 0.5408189296722412]
[0.5550755262374878, 0.5752125978469849, 0.41661974787712097, 0.28595858812332153, 0.521872878074646]
[0.5320180654525757, 0.5734734535217285, 0.42667829990386963, 0.2676824927330017, 0.5365174412727356]
[0.45242103934288025, 0.5580883622169495, 0.45425352454185486, 0.3138948082923889, 0.49763810634613037]
[0.5168168544769287, 0.5773410201072693, 0.4129897952079773, 0.28133606910705566, 0.5243749618530273]
[0.5035103559494019, 0.5820754766464233, 0.43858039379119873, 0.3011135756969452, 0.5110805034637451]
[0.5578673481941223, 0.6027719378471375, 0.421588271856308, 0.2613105773925781, 0.5583434700965881]
[0.5366772413253784, 0.5554831624031067, 0.4375866651535034, 0.2780197262763977, 0.5670221447944641]
[0.4523099958896637, 0.5291646122932434, 0.4767185151576996, 0.3521364629268646, 0.48398271203041077]
[0.5377763509750366, 0.5525617003440857, 0.44940537214279175, 0.30982449650764465, 0.5307485461235046]
[0.49881240725517273, 0.5395320057868958, 0.5042988657951355, 0.4047640264034271, 0.5232883095741272]
[0.46897968649864197, 0.5559413433074951, 0.4431321322917938, 0.30502748489379883, 0.5092304348945618]
[0.5176085233688354, 0.5223551392555237, 0.4953683912754059, 0.32094770669937134, 0.47261881828308105]
[0.4216062128543854, 0.5596736669540405, 0.46504539251327515, 0.3314780294895172, 0.45834219455718994]
[0.42076873779296875, 0.5538034439086914, 0.46760159730911255, 0.33975234627723694, 0.48530206084251404]
[0.4027788043022156, 0.5385854840278625, 0.48315000534057617, 0.3617996871471405, 0.4573816955089569]
[0.3854174315929413, 0.548297107219696, 0.4580794870853424, 0.3072185218334198, 0.4683932363986969]
[0.48984938859939575, 0.5532759428024292, 0.4762786328792572, 0.33003756403923035, 0.502136766910553]
[0.5510098934173584, 0.5836450457572937, 0.4289027154445648, 0.27785199880599976, 0.5654093027114868]
[0.4404214024543762, 0.5571766495704651, 0.4473891854286194, 0.31026652455329895, 0.47128918766975403]
[0.49139201641082764, 0.5543866157531738, 0.45969513058662415, 0.3137110769748688, 0.46581360697746277]
[0.45851996541023254, 0.5633648633956909, 0.44792404770851135, 0.33569949865341187, 0.4800480902194977]
[0.44013693928718567, 0.551591157913208, 0.46627333760261536, 0.2913581430912018, 0.4677353501319885]
[0.4552476406097412, 0.5506514310836792, 0.4928090274333954, 0.37098199129104614, 0.45436394214630127]
[0.5043433308601379, 0.5562734007835388, 0.4497683048248291, 0.34356993436813354, 0.5134389996528625]
[0.3754923641681671, 0.5360612869262695, 0.4994785189628601, 0.4075959324836731, 0.43830594420433044]
[0.5368493795394897, 0.5583958029747009, 0.4512026906013489, 0.2838231325149536, 0.49652576446533203]
[0.47508111596107483, 0.5429881811141968, 0.524857759475708, 0.3617309629917145, 0.47621574997901917]
[0.34291696548461914, 0.5454016327857971, 0.4583018720149994, 0.32137760519981384, 0.4301442503929138]
[0.3420642912387848, 0.5375407934188843, 0.4724636971950531, 0.3367045223712921, 0.4426642656326294]
[0.5030546188354492, 0.5799589157104492, 0.4278733730316162, 0.2883210778236389, 0.5205523371696472]
[0.5624579191207886, 0.5748119354248047, 0.4154743254184723, 0.25829240679740906, 0.5635190606117249]
[0.5096970796585083, 0.5903184413909912, 0.444576621055603, 0.2771123945713043, 0.5095664262771606]
[0.5338558554649353, 0.5861948132514954, 0.40468311309814453, 0.272437185049057, 0.5360059142112732]
[0.5018607974052429, 0.5626299381256104, 0.4611718952655792, 0.3617916405200958, 0.528317928314209]
[0.5236666202545166, 0.5586329698562622, 0.48041659593582153, 0.3383018374443054, 0.5308181643486023]
[0.5248529314994812, 0.5428348183631897, 0.4498046636581421, 0.29378750920295715, 0.47399505972862244]
[0.4579918384552002, 0.547370433807373, 0.44830068945884705, 0.3251628279685974, 0.4736137092113495]
[0.4949488043785095, 0.557361364364624, 0.44853475689888, 0.29528191685676575, 0.545532763004303]
[0.42456769943237305, 0.5466037392616272, 0.4754486680030823, 0.3260117173194885, 0.44197800755500793]
[0.49195995926856995, 0.5780976414680481, 0.43336179852485657, 0.2706248164176941, 0.5274665951728821]
[0.5486701130867004, 0.6071341633796692, 0.4220108985900879, 0.28055381774902344, 0.5550186038017273]
[0.4343961775302887, 0.5390658974647522, 0.4692520201206207, 0.3524382710456848, 0.43917664885520935]
[0.46319684386253357, 0.5635402798652649, 0.43148621916770935, 0.29607319831848145, 0.4818298816680908]
[0.37589749693870544, 0.5577855110168457, 0.44758397340774536, 0.31370580196380615, 0.4379955530166626]
[0.45232832431793213, 0.5875802040100098, 0.46107202768325806, 0.29812145233154297, 0.49418753385543823]
[0.49900463223457336, 0.5782999396324158, 0.456040620803833, 0.29989093542099, 0.51091068983078]
[0.5320738554000854, 0.5715643763542175, 0.4263371527194977, 0.28549495339393616, 0.527912437915802]
[0.5401126146316528, 0.5325565338134766, 0.4464316666126251, 0.27914848923683167, 0.4977048337459564]
[0.4930223822593689, 0.5839815735816956, 0.44453656673431396, 0.2768813371658325, 0.5197321772575378]
[0.4350444972515106, 0.570109486579895, 0.47588783502578735, 0.3274087607860565, 0.46892234683036804]
