1
【复旦新生勤工俭学被城管毒打致死】7月27日晚淮安市一名学生（今年刚考取复旦大学）为了筹学费,暑假帮父母在黄河桥卖水果,不幸被城管毒打身亡.城管打了孩子几次.警察到现场的时候,他还活着.警察问谁打他了,他指认其中一个城管.结果那城管当着警察的面猛打那个孩子. 有良心别删！
[0.5254741311073303, 0.5141969323158264, 0.5319800972938538, 0.4234294295310974, 0.5445074439048767]
[0.44577622413635254, 0.5688006281852722, 0.43350282311439514, 0.3332027494907379, 0.4760703444480896]
[0.5433720350265503, 0.5802782773971558, 0.41019198298454285, 0.26956239342689514, 0.5483416318893433]
[0.5731431245803833, 0.5990318059921265, 0.42477309703826904, 0.2609748840332031, 0.542391300201416]
[0.4066031277179718, 0.534427285194397, 0.5080548524856567, 0.38905760645866394, 0.4624568223953247]
[0.4899921119213104, 0.5586201548576355, 0.4692579507827759, 0.29056477546691895, 0.5058557987213135]
[0.49851158261299133, 0.5396300554275513, 0.4641227722167969, 0.4156284034252167, 0.4987219572067261]
[0.518186092376709, 0.5945528745651245, 0.4390137493610382, 0.27972984313964844, 0.5487352013587952]
[0.45166394114494324, 0.566601574420929, 0.4659264087677002, 0.29768043756484985, 0.4802250564098358]
[0.4487622082233429, 0.5716210603713989, 0.4600348174571991, 0.3031274080276489, 0.45275557041168213]
[0.49127447605133057, 0.5680668354034424, 0.43031397461891174, 0.2854500710964203, 0.516825258731842]
[0.5562321543693542, 0.5829006433486938, 0.41804829239845276, 0.28834712505340576, 0.5392798185348511]
[0.5309866666793823, 0.6008492708206177, 0.4494827389717102, 0.2840394377708435, 0.5422011017799377]
[0.48874419927597046, 0.5785103440284729, 0.44158488512039185, 0.3026609718799591, 0.5211985111236572]
[0.44820743799209595, 0.5856026411056519, 0.44637033343315125, 0.29312974214553833, 0.4808202385902405]
[0.4562249779701233, 0.5680307149887085, 0.44725286960601807, 0.28659605979919434, 0.4896068274974823]
[0.5016124248504639, 0.5743620991706848, 0.42418479919433594, 0.2903605103492737, 0.536246657371521]
[0.4934918284416199, 0.5945034623146057, 0.43916618824005127, 0.2775264084339142, 0.54021155834198]
[0.5132670402526855, 0.5934965014457703, 0.4420536458492279, 0.27757078409194946, 0.5219869613647461]
[0.5040035247802734, 0.5719863772392273, 0.43091994524002075, 0.27657848596572876, 0.5261465907096863]
[0.47679775953292847, 0.5212075710296631, 0.46571627259254456, 0.3424856662750244, 0.5222936272621155]
[0.5419149398803711, 0.585088849067688, 0.4290536046028137, 0.27960386872291565, 0.5591724514961243]
[0.5514498949050903, 0.5815057158470154, 0.40853309631347656, 0.27535295486450195, 0.5303637385368347]
[0.474413126707077, 0.5952529311180115, 0.43518829345703125, 0.2782789170742035, 0.49799013137817383]
[0.491657018661499, 0.5888237357139587, 0.42668774724006653, 0.25621363520622253, 0.5518900156021118]
[0.4612754285335541, 0.5517392158508301, 0.4875113070011139, 0.33692625164985657, 0.49423471093177795]
[0.521691083908081, 0.5878927707672119, 0.4193263351917267, 0.279192179441452, 0.5255200266838074]
[0.5176640152931213, 0.5869829654693604, 0.4359051287174225, 0.28276610374450684, 0.528826892375946]
[0.497713565826416, 0.5571603775024414, 0.45934394001960754, 0.3226213753223419, 0.49585938453674316]
[0.403207391500473, 0.5741456747055054, 0.4414218068122864, 0.30148303508758545, 0.48036542534828186]
[0.516520082950592, 0.5960990786552429, 0.42461371421813965, 0.28842779994010925, 0.5248094201087952]
[0.4423108696937561, 0.5427870750427246, 0.506521999835968, 0.36806759238243103, 0.47134360671043396]
[0.48560938239097595, 0.5200558304786682, 0.4872905910015106, 0.3775181174278259, 0.49566951394081116]
[0.4752258062362671, 0.5691908001899719, 0.4391210675239563, 0.3077876567840576, 0.4840574860572815]
[0.5242989659309387, 0.5961413383483887, 0.4202952980995178, 0.26114898920059204, 0.5416539907455444]
[0.4002295136451721, 0.5452055335044861, 0.48913678526878357, 0.3257930278778076, 0.43701982498168945]
