1
全球发出警示！请传出去！ 隐翅虫，在你身上时绝对不要打，她身上有 毒液，接触到皮肤，就死定了！ 跟你的孩 子、朋友讲，万一身上有这虫，用嘴巴轻轻 吹走就好。绝对不要用手打. 医师强调,如果 每个收到这份邮件的人,能够转发十份给其他 人,肯定至少有一条生命将会被挽救回来,请 转寄转发！别只存档！
[0.5011024475097656, 0.5129536986351013, 0.45926934480667114, 0.3593798577785492, 0.5206566452980042]
[0.47534117102622986, 0.5655848383903503, 0.4240681827068329, 0.27674591541290283, 0.5216516256332397]
[0.5149213075637817, 0.5745115280151367, 0.4294396936893463, 0.2818833291530609, 0.5206738114356995]
[0.5383667349815369, 0.577918529510498, 0.4370206594467163, 0.26881781220436096, 0.5098469257354736]
[0.4014396369457245, 0.5504124164581299, 0.5575224757194519, 0.4416740834712982, 0.5246385931968689]
[0.5185933113098145, 0.5886591672897339, 0.41420748829841614, 0.28358691930770874, 0.5321028828620911]
[0.444325715303421, 0.5693244338035583, 0.4619535505771637, 0.3377147614955902, 0.5061801075935364]
[0.4639146029949188, 0.5555030107498169, 0.4436652660369873, 0.309455931186676, 0.4851667582988739]
[0.489944726228714, 0.5676684975624084, 0.44707414507865906, 0.324722021818161, 0.5338075160980225]
[0.4812818467617035, 0.5984389185905457, 0.4233774244785309, 0.2795993685722351, 0.5052288770675659]
[0.49560222029685974, 0.563297688961029, 0.4361392557621002, 0.3090199828147888, 0.5141012668609619]
[0.46842190623283386, 0.5804670453071594, 0.43650028109550476, 0.30999377369880676, 0.4927496314048767]
[0.41533347964286804, 0.5441787242889404, 0.4602610766887665, 0.31920284032821655, 0.5079696774482727]
[0.5185933113098145, 0.5886591672897339, 0.41420748829841614, 0.28358691930770874, 0.5321028828620911]
[0.5502887964248657, 0.586197018623352, 0.4208514094352722, 0.25604450702667236, 0.5656148791313171]
[0.5751505494117737, 0.5546731948852539, 0.40122783184051514, 0.272085577249527, 0.5337074995040894]
[0.4639146029949188, 0.5555030107498169, 0.4436652660369873, 0.309455931186676, 0.4851667582988739]
[0.4869527220726013, 0.5524912476539612, 0.45317497849464417, 0.3152227997779846, 0.5223932862281799]
[0.5186534523963928, 0.5397393107414246, 0.48264986276626587, 0.31563371419906616, 0.5249636173248291]
[0.5481877326965332, 0.5946312546730042, 0.4127618074417114, 0.24726763367652893, 0.5697609186172485]
[0.52495938539505, 0.5901310443878174, 0.4188389182090759, 0.2754991352558136, 0.5415787696838379]
[0.3986598253250122, 0.5591292381286621, 0.4524151682853699, 0.31231826543807983, 0.45571285486221313]
[0.33728331327438354, 0.5491191744804382, 0.4396303594112396, 0.2745296061038971, 0.434570848941803]
[0.5356462597846985, 0.5872116088867188, 0.4007112681865692, 0.2613350450992584, 0.5380744934082031]
[0.5268816351890564, 0.5746033787727356, 0.45918670296669006, 0.2730390429496765, 0.5197311639785767]
[0.49009647965431213, 0.5771675109863281, 0.43725261092185974, 0.28017354011535645, 0.5253856182098389]
[0.5185933113098145, 0.5886591672897339, 0.41420748829841614, 0.28358691930770874, 0.5321028828620911]
