1
全球发出警示！请传出去！ 隐翅虫，在你身上时绝对不要打，她身上有毒液，接触到皮肤，就死定了！ 跟你的孩 子、朋友讲，万一身上有这虫，用嘴巴轻轻 吹走就好。绝对不要用手打. 医师强调,如果 每个收到这份微博的人,能够转发十份给其他人,肯定至少有一条生命将会被挽救回来,请转发！
[0.5048730373382568, 0.5268092155456543, 0.4945209324359894, 0.4100837707519531, 0.5616785287857056]
[0.5185933113098145, 0.5886591672897339, 0.41420748829841614, 0.28358691930770874, 0.5321028828620911]
[0.486031711101532, 0.5694148540496826, 0.4329361021518707, 0.28792324662208557, 0.5424721837043762]
[0.5412548184394836, 0.5699888467788696, 0.41953691840171814, 0.2768971621990204, 0.5389410853385925]
[0.5743482708930969, 0.5644463300704956, 0.40816736221313477, 0.243759423494339, 0.5719851851463318]
[0.49346551299095154, 0.550636887550354, 0.4644806683063507, 0.3271414339542389, 0.4759487509727478]
[0.49411672353744507, 0.5668970346450806, 0.44414931535720825, 0.31923893094062805, 0.5046558380126953]
[0.5185933113098145, 0.5886591672897339, 0.41420748829841614, 0.28358691930770874, 0.5321028828620911]
[0.5325873494148254, 0.5880876183509827, 0.42129048705101013, 0.2533036768436432, 0.5475322008132935]
[0.48891523480415344, 0.5986390709877014, 0.4251663088798523, 0.2733253836631775, 0.5165185332298279]
[0.42902082204818726, 0.5640440583229065, 0.46135663986206055, 0.3367574214935303, 0.46171072125434875]
[0.3446110188961029, 0.5663956999778748, 0.4481543004512787, 0.3055422008037567, 0.44376927614212036]
[0.4502499997615814, 0.5825034379959106, 0.44765836000442505, 0.29133114218711853, 0.48963648080825806]
[0.5017122030258179, 0.5617126822471619, 0.4707438349723816, 0.30755773186683655, 0.5092572569847107]
[0.5334315896034241, 0.5559256672859192, 0.45014259219169617, 0.29254668951034546, 0.516441822052002]
[0.4780327081680298, 0.5637694597244263, 0.4235045909881592, 0.3069101870059967, 0.49688291549682617]
[0.457669198513031, 0.5787736177444458, 0.44156429171562195, 0.3104880750179291, 0.49337583780288696]
[0.45467302203178406, 0.5697863101959229, 0.4366864562034607, 0.29164448380470276, 0.4832734167575836]
[0.497648149728775, 0.5867222547531128, 0.4537718594074249, 0.313037246465683, 0.5151233673095703]
[0.5255692005157471, 0.5749526023864746, 0.4374378025531769, 0.2993074357509613, 0.5471592545509338]
[0.4976195693016052, 0.5625410676002502, 0.4321550726890564, 0.327133446931839, 0.5181657671928406]
