1
如果刘翔得了伦敦奥运会金牌,凡转发并关注我的朋友,所有人送一台最新版的iPhone+iPad+Mac Air.看好,不是一个人！而是所有人！决不骗人！获金牌立即兑现！
[0.5324612259864807, 0.5319596529006958, 0.45601749420166016, 0.3482346534729004, 0.5282388925552368]
[0.36461341381073, 0.5723021626472473, 0.46212059259414673, 0.30003079771995544, 0.4242684245109558]
[0.5201964974403381, 0.5813158750534058, 0.43426093459129333, 0.2765119671821594, 0.5426637530326843]
[0.43815651535987854, 0.5305516719818115, 0.4989595115184784, 0.39515894651412964, 0.46593883633613586]
[0.5535418391227722, 0.5951646566390991, 0.4027711749076843, 0.2501104176044464, 0.5523548126220703]
[0.5151858925819397, 0.56644207239151, 0.4225737154483795, 0.28253597021102905, 0.5335538983345032]
[0.5422282814979553, 0.5863180160522461, 0.40551844239234924, 0.2753317654132843, 0.556081235408783]
[0.573235273361206, 0.6016228199005127, 0.406050443649292, 0.25514864921569824, 0.5629241466522217]
[0.5553188920021057, 0.5810922980308533, 0.4012655019760132, 0.25340360403060913, 0.5626757144927979]
[0.5095049738883972, 0.523879885673523, 0.49392053484916687, 0.4067721366882324, 0.522038459777832]
[0.4916258454322815, 0.5644727349281311, 0.43824249505996704, 0.26999443769454956, 0.5479605793952942]
[0.44769486784935, 0.5650485754013062, 0.44006744027137756, 0.31224825978279114, 0.48982924222946167]
[0.4650244116783142, 0.5768699049949646, 0.4432328939437866, 0.2886543273925781, 0.5188762545585632]
[0.43099406361579895, 0.5293284058570862, 0.5057696104049683, 0.4092196226119995, 0.450655996799469]
[0.5424304604530334, 0.5784128904342651, 0.41760775446891785, 0.27180537581443787, 0.5255889892578125]
[0.5774304270744324, 0.6065936088562012, 0.41549786925315857, 0.2480234056711197, 0.5604559779167175]
[0.48389336466789246, 0.5659157633781433, 0.4687986373901367, 0.2975950837135315, 0.5222718119621277]
[0.5458282232284546, 0.5957469344139099, 0.4208776354789734, 0.26351380348205566, 0.5456541776657104]
[0.4680127501487732, 0.5923903584480286, 0.4287876486778259, 0.2730920910835266, 0.5150213837623596]
[0.5667981505393982, 0.586313784122467, 0.4184199273586273, 0.2751973867416382, 0.5641926527023315]
[0.57026606798172, 0.5660037994384766, 0.420403391122818, 0.2882104218006134, 0.5512418150901794]
[0.5325873494148254, 0.5880876183509827, 0.42129048705101013, 0.2533036768436432, 0.5475322008132935]
[0.5053690671920776, 0.5770865082740784, 0.4234728217124939, 0.26742568612098694, 0.5389273762702942]
[0.4353492856025696, 0.5673085451126099, 0.4415869414806366, 0.30029624700546265, 0.4625420570373535]
[0.4946870505809784, 0.5521054863929749, 0.4718400835990906, 0.37990278005599976, 0.4745880663394928]
[0.4089055061340332, 0.5784577131271362, 0.45308005809783936, 0.2784103751182556, 0.48602575063705444]
[0.4297640919685364, 0.5622831583023071, 0.4466482400894165, 0.31099721789360046, 0.44785165786743164]
[0.5471845269203186, 0.5692588090896606, 0.3969423174858093, 0.2839565873146057, 0.5422778129577637]
[0.5632176995277405, 0.5730816125869751, 0.4161708652973175, 0.2816993296146393, 0.567402720451355]
[0.5216172337532043, 0.579474687576294, 0.4264985918998718, 0.2799372673034668, 0.5416284203529358]
[0.4503357708454132, 0.5627984404563904, 0.4730328917503357, 0.34305524826049805, 0.48866334557533264]
[0.4948267638683319, 0.5882132649421692, 0.4192117750644684, 0.28920525312423706, 0.5114375352859497]
[0.4758692681789398, 0.5671343803405762, 0.4664519131183624, 0.3051452934741974, 0.4674079716205597]
[0.3098928928375244, 0.5511468052864075, 0.4705789387226105, 0.32566845417022705, 0.4360714852809906]
[0.5090588331222534, 0.5608978271484375, 0.43776705861091614, 0.27984461188316345, 0.5266579985618591]
