1
生命警示！请传出去！ 隐翅虫，在你身上时绝对不要打，她身上有 毒液，接触到皮肤，就死定了！ 跟你的孩子、朋友讲，万一身上有这虫，用嘴巴轻轻吹走就好。绝对不要用手打. 医师强调,如果 每个收到这个信息的人,能够转发十份给其他 人,肯定至少有一条生命将会被挽救回来,请转寄转发！别只存档！
[0.5164926052093506, 0.5369187593460083, 0.4715820848941803, 0.3665373623371124, 0.5361360311508179]
[0.5077583193778992, 0.5686806440353394, 0.4442163407802582, 0.2916790246963501, 0.5320603251457214]
[0.4704539477825165, 0.5571242570877075, 0.4618658125400543, 0.31692439317703247, 0.5176717042922974]
[0.3863496780395508, 0.5439212322235107, 0.484895795583725, 0.33093205094337463, 0.4476577639579773]
[0.5495577454566956, 0.5830058455467224, 0.4171627163887024, 0.2556450366973877, 0.5597614645957947]
[0.5179467797279358, 0.5855292677879333, 0.41131919622421265, 0.26261353492736816, 0.5679944753646851]
[0.5438017845153809, 0.5942021012306213, 0.41521143913269043, 0.26803213357925415, 0.5571514964103699]
[0.4487622082233429, 0.5716210603713989, 0.4600348174571991, 0.3031274080276489, 0.45275557041168213]
[0.49045586585998535, 0.5843973755836487, 0.40657541155815125, 0.2742694616317749, 0.5219619274139404]
[0.44326868653297424, 0.5525220036506653, 0.45840659737586975, 0.34337112307548523, 0.4739276170730591]
[0.4857293367385864, 0.5662208199501038, 0.4468383491039276, 0.3197627663612366, 0.49142539501190186]
[0.48891523480415344, 0.5986390709877014, 0.4251663088798523, 0.2733253836631775, 0.5165185332298279]
[0.5479987263679504, 0.5793682336807251, 0.41515645384788513, 0.2840227782726288, 0.5528528690338135]
[0.5185933113098145, 0.5886591672897339, 0.41420748829841614, 0.28358691930770874, 0.5321028828620911]
[0.4158919155597687, 0.5761731266975403, 0.4727553129196167, 0.3487147390842438, 0.45114314556121826]
[0.4621710479259491, 0.5627471804618835, 0.43099460005760193, 0.28966856002807617, 0.5192305445671082]
[0.5058897137641907, 0.5832006335258484, 0.43435025215148926, 0.26824602484703064, 0.5498504638671875]
[0.5438017845153809, 0.5942021012306213, 0.41521143913269043, 0.26803213357925415, 0.5571514964103699]
[0.45955798029899597, 0.5605957508087158, 0.45125871896743774, 0.3119511008262634, 0.46328240633010864]
[0.47828009724617004, 0.5454232692718506, 0.4561595022678375, 0.3635668158531189, 0.5008960366249084]
[0.6277270913124084, 0.537666380405426, 0.42318394780158997, 0.30911746621131897, 0.6100323796272278]
[0.5022384524345398, 0.568779468536377, 0.41912829875946045, 0.29359254240989685, 0.5235933661460876]
[0.4639146029949188, 0.5555030107498169, 0.4436652660369873, 0.309455931186676, 0.4851667582988739]
[0.5185933113098145, 0.5886591672897339, 0.41420748829841614, 0.28358691930770874, 0.5321028828620911]
[0.5597254633903503, 0.5783798098564148, 0.40386518836021423, 0.25797033309936523, 0.5732690095901489]
[0.5110899806022644, 0.5848212242126465, 0.4441272020339966, 0.2846745252609253, 0.5496025681495667]
[0.4773811399936676, 0.5725271701812744, 0.44056937098503113, 0.30239424109458923, 0.5110339522361755]
[0.47923532128334045, 0.5568493604660034, 0.44598066806793213, 0.3286159932613373, 0.5102686285972595]
[0.512511670589447, 0.5864174365997314, 0.4356190860271454, 0.2729989290237427, 0.5434589982032776]
[0.446127325296402, 0.5724218487739563, 0.43599560856819153, 0.2840752601623535, 0.5229454636573792]
[0.5168448686599731, 0.5618255138397217, 0.43170347809791565, 0.3027028441429138, 0.5469292998313904]
[0.5599322319030762, 0.582076370716095, 0.4246737062931061, 0.2719094753265381, 0.5482571721076965]
[0.45352789759635925, 0.5782431960105896, 0.44029751420021057, 0.27449312806129456, 0.529582679271698]
[0.5260461568832397, 0.5862242579460144, 0.4310151934623718, 0.2730245292186737, 0.5295546650886536]
[0.48891523480415344, 0.5986390709877014, 0.4251663088798523, 0.2733253836631775, 0.5165185332298279]
[0.5331082344055176, 0.5908634066581726, 0.4154298007488251, 0.27173715829849243, 0.5437787771224976]
[0.5185933113098145, 0.5886591672897339, 0.41420748829841614, 0.28358691930770874, 0.5321028828620911]
[0.49769333004951477, 0.544499397277832, 0.3837123215198517, 0.24029196798801422, 0.5322815775871277]
[0.47517719864845276, 0.586574912071228, 0.44527381658554077, 0.29087427258491516, 0.5001380443572998]
[0.5523117184638977, 0.5742588043212891, 0.40476909279823303, 0.2860354781150818, 0.5417551398277283]
[0.48891523480415344, 0.5986390709877014, 0.4251663088798523, 0.2733253836631775, 0.5165185332298279]
[0.4694897532463074, 0.5780369639396667, 0.41903528571128845, 0.27809906005859375, 0.5335594415664673]
[0.511255145072937, 0.5555015802383423, 0.44553065299987793, 0.29960352182388306, 0.5322266817092896]
[0.4487622082233429, 0.5716210603713989, 0.4600348174571991, 0.3031274080276489, 0.45275557041168213]
[0.5050456523895264, 0.5434602499008179, 0.4435157775878906, 0.35737696290016174, 0.4843408465385437]
[0.43651679158210754, 0.5449334979057312, 0.47964295744895935, 0.36892324686050415, 0.5036746263504028]
