1
【鸟叔上春晚1分要10万！网友愤怒】凭《江南Style》风靡全球的韩国明星"鸟叔"朴载相,近日接到春晚邀请。"鸟叔"给出的最新演出费1分钟10万元,除外还要包专机接送。有网友愤怒:"花这么多钱请个韩国人唱两句谁也听不懂的鸟语,远远不如把这些钱给西部贫困山区来得实在!"(金鹰网)PS:过分,让小沈阳跳多好!
[0.4942565858364105, 0.5303238034248352, 0.46110883355140686, 0.34830495715141296, 0.55638587474823]
[0.4917965829372406, 0.5642513632774353, 0.44473153352737427, 0.292820006608963, 0.504958987236023]
[0.4428595304489136, 0.5506423115730286, 0.4453181326389313, 0.30925309658050537, 0.4847213327884674]
[0.49677786231040955, 0.5578649640083313, 0.4480871856212616, 0.35225698351860046, 0.5172494053840637]
[0.5151742696762085, 0.5589393973350525, 0.4628423750400543, 0.30924227833747864, 0.545775830745697]
[0.42388054728507996, 0.5715552568435669, 0.44955748319625854, 0.31282874941825867, 0.47580090165138245]
[0.468213826417923, 0.547825038433075, 0.44372543692588806, 0.3300263583660126, 0.4983879029750824]
[0.46158358454704285, 0.5389865636825562, 0.48220956325531006, 0.33016592264175415, 0.48497721552848816]
[0.4677591919898987, 0.5372841358184814, 0.45713546872138977, 0.2880120873451233, 0.48323389887809753]
[0.5116350650787354, 0.5514326691627502, 0.41501152515411377, 0.3259076178073883, 0.5366101264953613]
[0.5090017914772034, 0.5928217768669128, 0.4176779091358185, 0.2741379141807556, 0.5251357555389404]
[0.4465620815753937, 0.5438085794448853, 0.47362831234931946, 0.38019824028015137, 0.48183828592300415]
[0.42612478137016296, 0.5557557344436646, 0.48329970240592957, 0.3336012065410614, 0.5219656825065613]
[0.32188880443573, 0.5194275975227356, 0.5771975517272949, 0.6438029408454895, 0.4540157914161682]
[0.47496920824050903, 0.5624165534973145, 0.4217759072780609, 0.307521790266037, 0.512466311454773]
[0.3805595934391022, 0.5487638711929321, 0.44838932156562805, 0.30978506803512573, 0.43362557888031006]
[0.4172053933143616, 0.5597087740898132, 0.4738626778125763, 0.3087024688720703, 0.48066461086273193]
[0.3805595934391022, 0.5487638711929321, 0.44838932156562805, 0.30978506803512573, 0.43362557888031006]
[0.48001420497894287, 0.5371537804603577, 0.4470841586589813, 0.3093954026699066, 0.47517141699790955]
[0.5975173115730286, 0.5195043087005615, 0.4458248019218445, 0.291633278131485, 0.5881226062774658]
[0.49110063910484314, 0.5538865923881531, 0.4762539267539978, 0.35269132256507874, 0.5378362536430359]
[0.5362492203712463, 0.5950995683670044, 0.42481496930122375, 0.2637103199958801, 0.5686003565788269]
[0.4915110766887665, 0.5582795739173889, 0.46642401814460754, 0.341060996055603, 0.5379197597503662]
[0.5250692367553711, 0.5859724283218384, 0.43076008558273315, 0.27657878398895264, 0.5618744492530823]
[0.4761713743209839, 0.5517975091934204, 0.44856593012809753, 0.3017345666885376, 0.49905017018318176]
[0.4682147204875946, 0.5499958992004395, 0.4475153088569641, 0.3047589063644409, 0.47245359420776367]
[0.5250576138496399, 0.5420770049095154, 0.44878169894218445, 0.28602874279022217, 0.5090627074241638]
[0.49819183349609375, 0.5695810914039612, 0.4092336595058441, 0.28381651639938354, 0.5330636501312256]
