1
#疯狂早报#【鸟叔上春晚1分要10万！网友愤怒】凭《江南Style》风靡全球的韩国明星"鸟叔"朴载相,近日接到春晚邀请。"鸟叔"给出的最新演出费1分钟10万元,除外还要包专机接送。有网友愤怒:"花这么多钱请个韩国人唱两句谁也听不懂的鸟语,远远不如把这些钱给西部贫困山区来得实在!"PS:过分,让小沈阳跳多好!
[0.5222695469856262, 0.5364048480987549, 0.45538169145584106, 0.3289112448692322, 0.5651143193244934]
[0.4633876383304596, 0.5920354127883911, 0.4470266103744507, 0.2997549772262573, 0.5127212405204773]
[0.5204504132270813, 0.5707433819770813, 0.4173178970813751, 0.282120943069458, 0.5095145106315613]
[0.4567912220954895, 0.5763882994651794, 0.42483755946159363, 0.29759669303894043, 0.484043151140213]
[0.3858054280281067, 0.5572490692138672, 0.47164154052734375, 0.3101294934749603, 0.48066312074661255]
[0.5326513648033142, 0.5580506920814514, 0.434181272983551, 0.31823018193244934, 0.5501626133918762]
[0.5505107045173645, 0.6079980731010437, 0.4145890772342682, 0.25963863730430603, 0.5610997676849365]
[0.4953126907348633, 0.5832948088645935, 0.4293734133243561, 0.29196640849113464, 0.5567277073860168]
[0.46209973096847534, 0.560062825679779, 0.42035165429115295, 0.27489611506462097, 0.4754510223865509]
[0.40224096179008484, 0.5786644220352173, 0.44937166571617126, 0.30823975801467896, 0.4706829786300659]
[0.48733916878700256, 0.5739020109176636, 0.42586496472358704, 0.2761390507221222, 0.4984787106513977]
[0.47694599628448486, 0.5707288980484009, 0.4301442503929138, 0.2884899973869324, 0.49586066603660583]
[0.5096133947372437, 0.5706588625907898, 0.4067258834838867, 0.26563090085983276, 0.5531020760536194]
[0.521209180355072, 0.5702251195907593, 0.41634684801101685, 0.2821670174598694, 0.5273948311805725]
[0.5145024657249451, 0.5855324864387512, 0.41725048422813416, 0.28782570362091064, 0.5187612175941467]
[0.5283255577087402, 0.570838987827301, 0.4347362816333771, 0.2863808274269104, 0.5060313940048218]
[0.5696853995323181, 0.5673433542251587, 0.43954965472221375, 0.28388670086860657, 0.5615993142127991]
[0.5081393718719482, 0.5734744668006897, 0.42151105403900146, 0.2957344949245453, 0.5214961767196655]
