1
【鸟叔上春晚1分要10万！网友愤怒】凭《江南Style》风靡全球的韩国明星"鸟叔"朴载相,近日接到春晚邀请。"鸟叔"给出的最新演出费1分钟10万元,除外还要包专机接送。有网友愤怒:"花这么多钱请个韩国人唱两句谁也听不懂的鸟语,远远不如把这些钱给西部贫困山区来得实在!"(金鹰网)
[0.5032252669334412, 0.548366129398346, 0.43020492792129517, 0.29829391837120056, 0.5464221835136414]
[0.577475368976593, 0.5674393177032471, 0.39777886867523193, 0.2643187642097473, 0.5634355545043945]
[0.5026211142539978, 0.5745192766189575, 0.41656211018562317, 0.2953789234161377, 0.5271174907684326]
[0.5186325907707214, 0.5743556022644043, 0.4287530481815338, 0.29713067412376404, 0.5449156165122986]
[0.48943713307380676, 0.5820376873016357, 0.4396044611930847, 0.31638050079345703, 0.5277115702629089]
[0.4598758816719055, 0.581083357334137, 0.42160147428512573, 0.28882262110710144, 0.49149414896965027]
[0.46158328652381897, 0.5582192540168762, 0.4868341386318207, 0.31058207154273987, 0.4965704381465912]
[0.4917965829372406, 0.5642513632774353, 0.44473153352737427, 0.292820006608963, 0.504958987236023]
[0.4526226222515106, 0.5624217987060547, 0.4399867653846741, 0.30411556363105774, 0.46093156933784485]
[0.5370395183563232, 0.5539954304695129, 0.41533318161964417, 0.27059897780418396, 0.5530484914779663]
[0.4822237491607666, 0.5416161417961121, 0.4422852694988251, 0.2999478280544281, 0.5221986770629883]
[0.536777138710022, 0.5661642551422119, 0.41673094034194946, 0.27922213077545166, 0.5604069828987122]
[0.47433173656463623, 0.5706343650817871, 0.4401196837425232, 0.2934302091598511, 0.5508065223693848]
[0.43372195959091187, 0.5776039361953735, 0.4284563362598419, 0.27846717834472656, 0.47131162881851196]
[0.4886036217212677, 0.5525659918785095, 0.42927074432373047, 0.27423614263534546, 0.509217381477356]
[0.527529776096344, 0.5705291628837585, 0.43397021293640137, 0.34148216247558594, 0.529981255531311]
[0.6035775542259216, 0.5895604491233826, 0.36934539675712585, 0.22994840145111084, 0.6041749715805054]
[0.5518373847007751, 0.5941497683525085, 0.40147438645362854, 0.2562452256679535, 0.5442928075790405]
[0.5093028545379639, 0.5374689698219299, 0.4478262960910797, 0.31397300958633423, 0.5595555901527405]
[0.4248616099357605, 0.5262771844863892, 0.49964049458503723, 0.41453057527542114, 0.502919614315033]
[0.5651885271072388, 0.5688179135322571, 0.40963014960289, 0.2746169865131378, 0.5740545392036438]
[0.5352032780647278, 0.5421116948127747, 0.43998923897743225, 0.29417651891708374, 0.5545628070831299]
[0.48099103569984436, 0.5157225728034973, 0.47481614351272583, 0.3965151906013489, 0.5004751086235046]
[0.509245753288269, 0.5746938586235046, 0.42008212208747864, 0.27138400077819824, 0.5373514890670776]
[0.5656297206878662, 0.5469083189964294, 0.4246363639831543, 0.264464408159256, 0.5525019764900208]
[0.4578299820423126, 0.5650998950004578, 0.4674703776836395, 0.3076787292957306, 0.5182782411575317]
[0.5189388990402222, 0.5933861136436462, 0.40765896439552307, 0.2832224667072296, 0.5377748608589172]
[0.5589843988418579, 0.5666703581809998, 0.40153956413269043, 0.2613775134086609, 0.5794867873191833]
[0.48214298486709595, 0.5487644076347351, 0.46689513325691223, 0.3280937373638153, 0.5217071771621704]
[0.46931901574134827, 0.49800756573677063, 0.5257234573364258, 0.4954753518104553, 0.46123000979423523]
[0.539929986000061, 0.5858598351478577, 0.4146769642829895, 0.2775251567363739, 0.5538279414176941]
[0.45442995429039, 0.5779369473457336, 0.4803466796875, 0.3234068751335144, 0.4908560514450073]
[0.3536585867404938, 0.561711847782135, 0.4298149049282074, 0.27608194947242737, 0.44226711988449097]
[0.49191340804100037, 0.5742292404174805, 0.43187251687049866, 0.301110178232193, 0.5426388382911682]
[0.48733916878700256, 0.5739020109176636, 0.42586496472358704, 0.2761390507221222, 0.4984787106513977]
[0.46209973096847534, 0.560062825679779, 0.42035165429115295, 0.27489611506462097, 0.4754510223865509]
[0.5044803619384766, 0.526397168636322, 0.46367982029914856, 0.3339037299156189, 0.5261882543563843]
[0.49769333004951477, 0.544499397277832, 0.3837123215198517, 0.24029196798801422, 0.5322815775871277]
[0.6226776242256165, 0.5405946373939514, 0.40804147720336914, 0.2631482183933258, 0.6029218435287476]
[0.48208707571029663, 0.5895374417304993, 0.4381827414035797, 0.2840958833694458, 0.5049985647201538]
[0.47105497121810913, 0.5870493054389954, 0.4244751036167145, 0.27806806564331055, 0.5113030076026917]
