1
一名利用假期卖菌的四川万源学生,遭到数名城管殴打,原因不明。学生被迅速送往医院,目前仍在昏迷。马上要转往成都。万源不是一个小县城，安居乐业挺好的，。这些城管谁他们给你们这么打的权利可以掌控人的生死。临武的悲剧才过去多长时间啊?伤疤还没好,就忘了疼? 《 ...
[0.43251875042915344, 0.4990212321281433, 0.5779439806938171, 0.5263279676437378, 0.4796234369277954]
[0.5377928018569946, 0.5575968027114868, 0.41389399766921997, 0.2858448624610901, 0.5422834157943726]
[0.5015169978141785, 0.585196316242218, 0.469752699136734, 0.3253939747810364, 0.5406404733657837]
[0.5017213225364685, 0.5478361248970032, 0.442367821931839, 0.31284835934638977, 0.5226964354515076]
[0.5017213225364685, 0.5478361248970032, 0.442367821931839, 0.31284835934638977, 0.5226964354515076]
[0.5017213225364685, 0.5478361248970032, 0.442367821931839, 0.31284835934638977, 0.5226964354515076]
[0.4750208556652069, 0.5809153914451599, 0.44009488821029663, 0.29550987482070923, 0.5211753845214844]
[0.564020574092865, 0.5803682804107666, 0.40219995379447937, 0.2589283585548401, 0.5675259828567505]
[0.48398303985595703, 0.5777491331100464, 0.43175145983695984, 0.31027132272720337, 0.4877966642379761]
[0.5017213225364685, 0.5478361248970032, 0.442367821931839, 0.31284835934638977, 0.5226964354515076]
[0.4984111189842224, 0.5509348511695862, 0.40334653854370117, 0.2819675803184509, 0.5063479542732239]
[0.5017213225364685, 0.5478361248970032, 0.442367821931839, 0.31284835934638977, 0.5226964354515076]
[0.4950200617313385, 0.5358060598373413, 0.4456075131893158, 0.31078070402145386, 0.5041844248771667]
[0.5017213225364685, 0.5478361248970032, 0.442367821931839, 0.31284835934638977, 0.5226964354515076]
[0.5140626430511475, 0.5437171459197998, 0.4481066167354584, 0.3147244155406952, 0.5238659381866455]
[0.5017213225364685, 0.5478361248970032, 0.442367821931839, 0.31284835934638977, 0.5226964354515076]
[0.5704869031906128, 0.573866069316864, 0.39743244647979736, 0.25218334794044495, 0.569167971611023]
[0.4497683048248291, 0.528052568435669, 0.48042386770248413, 0.35884562134742737, 0.49624916911125183]
[0.5178322792053223, 0.5750436782836914, 0.4299039840698242, 0.29680484533309937, 0.5048390626907349]
[0.5017213225364685, 0.5478361248970032, 0.442367821931839, 0.31284835934638977, 0.5226964354515076]
[0.47856220602989197, 0.569322943687439, 0.44765475392341614, 0.3121504485607147, 0.5083556771278381]
[0.5007296204566956, 0.5491127967834473, 0.44884806871414185, 0.34556928277015686, 0.5093538165092468]
[0.5017213225364685, 0.5478361248970032, 0.442367821931839, 0.31284835934638977, 0.5226964354515076]
[0.517743706703186, 0.5786101818084717, 0.43039214611053467, 0.27881285548210144, 0.5342139005661011]
[0.5017213225364685, 0.5478361248970032, 0.442367821931839, 0.31284835934638977, 0.5226964354515076]
[0.5017213225364685, 0.5478361248970032, 0.442367821931839, 0.31284835934638977, 0.5226964354515076]
[0.49221351742744446, 0.5733954310417175, 0.4428344666957855, 0.28121519088745117, 0.5354512333869934]
[0.48570629954338074, 0.568003237247467, 0.47599396109580994, 0.31927376985549927, 0.5156235694885254]
[0.5298077464103699, 0.5928977727890015, 0.4256591498851776, 0.28714707493782043, 0.5272103548049927]
[0.5017213225364685, 0.5478361248970032, 0.442367821931839, 0.31284835934638977, 0.5226964354515076]
[0.5140626430511475, 0.5437171459197998, 0.4481066167354584, 0.3147244155406952, 0.5238659381866455]
[0.5140626430511475, 0.5437171459197998, 0.4481066167354584, 0.3147244155406952, 0.5238659381866455]
[0.5294880270957947, 0.5808514356613159, 0.4125188887119293, 0.27687209844589233, 0.5571129322052002]
[0.39436331391334534, 0.5576871037483215, 0.45146802067756653, 0.29767316579818726, 0.43241843581199646]
[0.5017213225364685, 0.5478361248970032, 0.442367821931839, 0.31284835934638977, 0.5226964354515076]
[0.4264431595802307, 0.5221129655838013, 0.4737633466720581, 0.3556464910507202, 0.5028215050697327]
[0.5017213225364685, 0.5478361248970032, 0.442367821931839, 0.31284835934638977, 0.5226964354515076]
[0.5017213225364685, 0.5478361248970032, 0.442367821931839, 0.31284835934638977, 0.5226964354515076]
[0.504984974861145, 0.5498765110969543, 0.4557946026325226, 0.34601911902427673, 0.5199652314186096]
[0.5017213225364685, 0.5478361248970032, 0.442367821931839, 0.31284835934638977, 0.5226964354515076]
[0.5017213225364685, 0.5478361248970032, 0.442367821931839, 0.31284835934638977, 0.5226964354515076]
[0.4354354441165924, 0.5688436627388, 0.4453994035720825, 0.28232523798942566, 0.4873666763305664]
[0.539639413356781, 0.5730605721473694, 0.41813012957572937, 0.2877248525619507, 0.5647025108337402]
[0.42817649245262146, 0.5069361925125122, 0.49796247482299805, 0.3863923251628876, 0.4478040635585785]
[0.5017213225364685, 0.5478361248970032, 0.442367821931839, 0.31284835934638977, 0.5226964354515076]
[0.48733916878700256, 0.5739020109176636, 0.42586496472358704, 0.2761390507221222, 0.4984787106513977]
[0.3392409086227417, 0.555451512336731, 0.4395296573638916, 0.3152984082698822, 0.43491458892822266]
[0.3916141986846924, 0.5144447684288025, 0.5021162629127502, 0.41888535022735596, 0.46176084876060486]
[0.5017213225364685, 0.5478361248970032, 0.442367821931839, 0.31284835934638977, 0.5226964354515076]
[0.5140626430511475, 0.5437171459197998, 0.4481066167354584, 0.3147244155406952, 0.5238659381866455]
[0.5263503789901733, 0.535568356513977, 0.4544717073440552, 0.32237809896469116, 0.543045163154602]
[0.5017213225364685, 0.5478361248970032, 0.442367821931839, 0.31284835934638977, 0.5226964354515076]
[0.5710741281509399, 0.5834212303161621, 0.42920801043510437, 0.2695876955986023, 0.5543762445449829]
[0.5780816674232483, 0.5730314254760742, 0.4119013249874115, 0.27548548579216003, 0.5588660836219788]
[0.5017213225364685, 0.5478361248970032, 0.442367821931839, 0.31284835934638977, 0.5226964354515076]
[0.5017213225364685, 0.5478361248970032, 0.442367821931839, 0.31284835934638977, 0.5226964354515076]
[0.39458703994750977, 0.5170755982398987, 0.5305677652359009, 0.4548790454864502, 0.429842472076416]
[0.5017213225364685, 0.5478361248970032, 0.442367821931839, 0.31284835934638977, 0.5226964354515076]
