1
上午10点路过中山陵前湖路口,看见一挂军牌车辆逆向闯红灯被交警阻拦 军车司机不但不听劝告，竟然用车顶交警 军车数次用车顶挤交警,交警毫无惧色!再此严厉警告!军车仍蛮横不理不听劝告！ 看到有人拍照,军牌司机气急败坏,破口大骂...... 交警说:就要把你这种...
[0.5481956601142883, 0.5542250871658325, 0.466214656829834, 0.3228592574596405, 0.5501516461372375]
[0.5075628161430359, 0.5445826649665833, 0.4415603578090668, 0.33210113644599915, 0.5240731239318848]
[0.3321322500705719, 0.5619553327560425, 0.44466179609298706, 0.28787761926651, 0.4495306611061096]
[0.5075628161430359, 0.5445826649665833, 0.4415603578090668, 0.33210113644599915, 0.5240731239318848]
[0.5075628161430359, 0.5445826649665833, 0.4415603578090668, 0.33210113644599915, 0.5240731239318848]
[0.4934277832508087, 0.5383968949317932, 0.44385260343551636, 0.2881566286087036, 0.5223491787910461]
[0.5075628161430359, 0.5445826649665833, 0.4415603578090668, 0.33210113644599915, 0.5240731239318848]
[0.5445524454116821, 0.5601012110710144, 0.423071950674057, 0.28207874298095703, 0.5573466420173645]
[0.5056208372116089, 0.5771060585975647, 0.44744616746902466, 0.2879866361618042, 0.5318084359169006]
[0.52658611536026, 0.5851758122444153, 0.4364151656627655, 0.26720714569091797, 0.5497711896896362]
[0.4962363839149475, 0.576653003692627, 0.3826018273830414, 0.25218239426612854, 0.5506754517555237]
[0.46257975697517395, 0.5593203902244568, 0.4747512638568878, 0.35376718640327454, 0.4876783490180969]
[0.4742107093334198, 0.5666398406028748, 0.4613708555698395, 0.31986409425735474, 0.5180373191833496]
[0.4654994308948517, 0.5299244523048401, 0.4637230336666107, 0.35889101028442383, 0.5076223015785217]
[0.5675005316734314, 0.5955690145492554, 0.40575820207595825, 0.25411516427993774, 0.5487556457519531]
[0.5610417127609253, 0.5609268546104431, 0.41580817103385925, 0.28337210416793823, 0.558975338935852]
[0.5936413407325745, 0.5909298062324524, 0.3949095904827118, 0.253189355134964, 0.5926980972290039]
[0.3801816701889038, 0.5210461616516113, 0.5179197192192078, 0.42691919207572937, 0.45527729392051697]
[0.4828016459941864, 0.5528411269187927, 0.4418841302394867, 0.30335110425949097, 0.5191875696182251]
[0.5096395015716553, 0.5850716829299927, 0.4120204448699951, 0.2525278627872467, 0.5585231184959412]
[0.5075628161430359, 0.5445826649665833, 0.4415603578090668, 0.33210113644599915, 0.5240731239318848]
[0.49726033210754395, 0.5665141344070435, 0.4633120894432068, 0.2948298752307892, 0.5121448040008545]
[0.5156604051589966, 0.5634715557098389, 0.4326974153518677, 0.27252134680747986, 0.5252723693847656]
