1
【鸟叔上春晚1分要10万！网友愤怒】凭《江南Style》风靡全球的韩国明星"鸟叔"朴载相,近日接到春晚邀请。"鸟叔"给出的最新演出费1分钟10万元,除外还要包专机接送。有网友愤怒:"花这么多钱请个韩国人唱两句谁也听不懂的鸟语,远远不如把这些钱给西部贫困山区来得实在!"(金鹰网)PS:过分,让小沈阳跳多好!
[0.4942565858364105, 0.5303238034248352, 0.46110883355140686, 0.34830495715141296, 0.55638587474823]
[0.5038435459136963, 0.5320269465446472, 0.49645522236824036, 0.40702083706855774, 0.5227248668670654]
[0.5467715263366699, 0.5703040361404419, 0.41763272881507874, 0.2656986117362976, 0.5565784573554993]
[0.5429425835609436, 0.5741212368011475, 0.4378342032432556, 0.3402908146381378, 0.5108442306518555]
[0.49066361784935, 0.5768001675605774, 0.43589431047439575, 0.31173229217529297, 0.5130518078804016]
[0.4020405411720276, 0.5664276480674744, 0.4392944276332855, 0.2833927571773529, 0.4751105010509491]
[0.49927863478660583, 0.5607523322105408, 0.44165724515914917, 0.3131836950778961, 0.5229184627532959]
[0.4385550916194916, 0.558247983455658, 0.4428313672542572, 0.33094778656959534, 0.47113528847694397]
[0.4806782305240631, 0.5552615523338318, 0.451120525598526, 0.32569026947021484, 0.506367564201355]
[0.5343806147575378, 0.5762986540794373, 0.41289427876472473, 0.2692137062549591, 0.5505605340003967]
[0.5033938884735107, 0.5909176468849182, 0.42763039469718933, 0.2999926209449768, 0.5195348858833313]
[0.4865691065788269, 0.5487313270568848, 0.4584379196166992, 0.3397796154022217, 0.49124249815940857]
[0.48166680335998535, 0.5485132336616516, 0.45917171239852905, 0.3217562437057495, 0.5344932675361633]
[0.5401627421379089, 0.5617571473121643, 0.4106109142303467, 0.2538861036300659, 0.5468679666519165]
[0.423922061920166, 0.5259115695953369, 0.5248219966888428, 0.4406079649925232, 0.4788079559803009]
[0.3988426625728607, 0.5633748769760132, 0.4353163242340088, 0.30015677213668823, 0.4556295871734619]
[0.4900359511375427, 0.5485496520996094, 0.46403801441192627, 0.3225522041320801, 0.5313733220100403]
[0.56928950548172, 0.5695306658744812, 0.3992297053337097, 0.2698109447956085, 0.5763968825340271]
[0.5118609666824341, 0.5808466076850891, 0.42492640018463135, 0.2830960154533386, 0.5417618751525879]
[0.49146318435668945, 0.554473340511322, 0.42530277371406555, 0.29484429955482483, 0.5150246620178223]
[0.42478761076927185, 0.5748971104621887, 0.4515816569328308, 0.30536991357803345, 0.4987603724002838]
[0.4984171688556671, 0.579278826713562, 0.41035276651382446, 0.2965158224105835, 0.5481235384941101]
[0.4928371012210846, 0.518531858921051, 0.4693748950958252, 0.33517852425575256, 0.471456378698349]
[0.5276578068733215, 0.564018726348877, 0.42702367901802063, 0.2875525653362274, 0.5310094356536865]
[0.385852575302124, 0.5593848824501038, 0.45914506912231445, 0.2989233136177063, 0.4251597821712494]
[0.4661272168159485, 0.5295549631118774, 0.4716227054595947, 0.3328819274902344, 0.4896785020828247]
[0.4378962218761444, 0.5380871295928955, 0.5175744891166687, 0.4190853536128998, 0.48327764868736267]
[0.48733916878700256, 0.5739020109176636, 0.42586496472358704, 0.2761390507221222, 0.4984787106513977]
[0.4692022502422333, 0.5745428204536438, 0.4585832357406616, 0.32554030418395996, 0.545295774936676]
[0.4727345407009125, 0.5386390686035156, 0.5164775252342224, 0.4479091465473175, 0.5172657370567322]
[0.44969019293785095, 0.5492016077041626, 0.44295382499694824, 0.31569042801856995, 0.5201727151870728]
[0.4078309237957001, 0.5507057309150696, 0.45191124081611633, 0.34281253814697266, 0.46221163868904114]
[0.4163728952407837, 0.5424383282661438, 0.44983676075935364, 0.3308853805065155, 0.4699009656906128]
[0.4641422927379608, 0.5562338829040527, 0.4589214026927948, 0.3299545645713806, 0.4706822335720062]
[0.5085627436637878, 0.5890660881996155, 0.43622323870658875, 0.27434495091438293, 0.5530559420585632]
[0.4848290979862213, 0.5579548478126526, 0.48037874698638916, 0.35022634267807007, 0.532934844493866]
[0.43202415108680725, 0.5698782205581665, 0.4283100366592407, 0.25251442193984985, 0.4653635025024414]
[0.5633880496025085, 0.5122814774513245, 0.46535369753837585, 0.36757129430770874, 0.5485078692436218]
[0.4921513795852661, 0.5595471858978271, 0.4439579248428345, 0.3154219686985016, 0.5238703489303589]
[0.4644414186477661, 0.5410232543945312, 0.4750092327594757, 0.38368746638298035, 0.5158113241195679]
[0.4962780773639679, 0.5444274544715881, 0.4678783714771271, 0.38921067118644714, 0.5344157814979553]
[0.4575392007827759, 0.5316693186759949, 0.44005221128463745, 0.3151785135269165, 0.48763322830200195]
[0.5766406059265137, 0.578001856803894, 0.41991737484931946, 0.27799248695373535, 0.5523321032524109]
[0.44455063343048096, 0.5571275949478149, 0.4847502112388611, 0.3210364878177643, 0.5129684805870056]
[0.3900589644908905, 0.5459395051002502, 0.4470166862010956, 0.30353844165802, 0.4607824981212616]
[0.5304656028747559, 0.5509705543518066, 0.4305688738822937, 0.31509482860565186, 0.5327383875846863]
[0.5340648293495178, 0.5471217632293701, 0.45130226016044617, 0.31247714161872864, 0.5245636105537415]
[0.49397730827331543, 0.563709557056427, 0.433185338973999, 0.31203362345695496, 0.5341852903366089]
[0.4812818467617035, 0.5984389185905457, 0.4233774244785309, 0.2795993685722351, 0.5052288770675659]
[0.5135010480880737, 0.5494093894958496, 0.42961758375167847, 0.3212016522884369, 0.5640744566917419]
[0.4067544639110565, 0.5355525016784668, 0.4418102204799652, 0.2966514527797699, 0.4358351528644562]
[0.49922218918800354, 0.5549446940422058, 0.46782001852989197, 0.3135802149772644, 0.5310133099555969]
[0.4947916269302368, 0.5799260139465332, 0.43914639949798584, 0.28995826840400696, 0.5234531760215759]
[0.379725843667984, 0.5402288436889648, 0.4506891071796417, 0.3043360114097595, 0.4568230211734772]
[0.4660727083683014, 0.5875406265258789, 0.41878604888916016, 0.288272887468338, 0.5224998593330383]
[0.5672670006752014, 0.5523625612258911, 0.4281085431575775, 0.2861407995223999, 0.5298242568969727]
[0.4648715853691101, 0.5413706302642822, 0.46808096766471863, 0.37768319249153137, 0.49273139238357544]
[0.5040035247802734, 0.5719863772392273, 0.43091994524002075, 0.27657848596572876, 0.5261465907096863]
[0.5051329731941223, 0.5899836421012878, 0.4247754216194153, 0.2757553160190582, 0.5170662999153137]
[0.5325468182563782, 0.554877519607544, 0.43165042996406555, 0.2998288571834564, 0.5071870684623718]
[0.4020405411720276, 0.5664276480674744, 0.4392944276332855, 0.2833927571773529, 0.4751105010509491]
[0.5118609666824341, 0.5808466076850891, 0.42492640018463135, 0.2830960154533386, 0.5417618751525879]
[0.5494527220726013, 0.5597676634788513, 0.4075528681278229, 0.27439263463020325, 0.5316119194030762]
[0.5420874953269958, 0.5854587554931641, 0.4088926613330841, 0.2743980586528778, 0.5562299489974976]
[0.5540280342102051, 0.5823162794113159, 0.40179142355918884, 0.23955433070659637, 0.5806699395179749]
[0.47955751419067383, 0.5592191219329834, 0.434255987405777, 0.30607593059539795, 0.5429926514625549]
[0.3805595934391022, 0.5487638711929321, 0.44838932156562805, 0.30978506803512573, 0.43362557888031006]
[0.5257073640823364, 0.5696449279785156, 0.43723487854003906, 0.2903116047382355, 0.534467339515686]
[0.5098638534545898, 0.5595512986183167, 0.4513584077358246, 0.3138456642627716, 0.5152525901794434]
[0.5197003483772278, 0.5600706934928894, 0.4461851418018341, 0.3273197412490845, 0.5105836391448975]
[0.5392293334007263, 0.5367199778556824, 0.44201603531837463, 0.32219722867012024, 0.5282533764839172]
[0.5221034288406372, 0.591150164604187, 0.43151453137397766, 0.2658415734767914, 0.5466503500938416]
[0.5092251300811768, 0.5619280338287354, 0.4338679611682892, 0.28946128487586975, 0.5195584297180176]
[0.4947672188282013, 0.5485852360725403, 0.4508989155292511, 0.3392038345336914, 0.5118990540504456]
[0.5576344728469849, 0.5785751938819885, 0.41655170917510986, 0.27189701795578003, 0.5675103664398193]
[0.5587420463562012, 0.5605988502502441, 0.4071701765060425, 0.2577842175960541, 0.5432168841362]
[0.48733916878700256, 0.5739020109176636, 0.42586496472358704, 0.2761390507221222, 0.4984787106513977]
[0.39183780550956726, 0.5483132600784302, 0.4575205445289612, 0.3299083709716797, 0.5004996657371521]
[0.4769285321235657, 0.5761731266975403, 0.47357818484306335, 0.29585057497024536, 0.5152496695518494]
[0.4630509614944458, 0.5640155673027039, 0.4427296817302704, 0.3271203339099884, 0.5123775601387024]
[0.6041008234024048, 0.5887728929519653, 0.41366052627563477, 0.23930655419826508, 0.5731531977653503]
[0.5054155588150024, 0.5839824080467224, 0.41947728395462036, 0.2881319224834442, 0.5433458089828491]
