1
全球发出警示！请传出去！ 隐翅虫，在你身上时绝对不要打，她身上有毒液，接触到皮肤，就死定了！ 跟你的孩 子、朋友讲，万一身上有这虫，用嘴巴轻轻 吹走就好。绝对不要用手打. 医师强调,如果 每个收到这份微博的人,能够转发十份给其他人,肯定至少有一条生命将会被挽救回来,请转发！
[0.5048730373382568, 0.5268092155456543, 0.4945209324359894, 0.4100837707519531, 0.5616785287857056]
[0.5298077464103699, 0.5928977727890015, 0.4256591498851776, 0.28714707493782043, 0.5272103548049927]
[0.5253632664680481, 0.5860597491264343, 0.44947105646133423, 0.2618817985057831, 0.5174066424369812]
[0.46322110295295715, 0.5665329694747925, 0.4086689352989197, 0.2615513801574707, 0.5110178589820862]
[0.47143203020095825, 0.560158908367157, 0.4457240104675293, 0.3138849437236786, 0.4917904734611511]
[0.5121532082557678, 0.5828429460525513, 0.43244802951812744, 0.2690197825431824, 0.5256675481796265]
[0.5185933113098145, 0.5886591672897339, 0.41420748829841614, 0.28358691930770874, 0.5321028828620911]
[0.4366488754749298, 0.5793625712394714, 0.44044944643974304, 0.322752982378006, 0.4690849781036377]
[0.4639146029949188, 0.5555030107498169, 0.4436652660369873, 0.309455931186676, 0.4851667582988739]
[0.5130452513694763, 0.5803594589233398, 0.41448748111724854, 0.28060442209243774, 0.5364042520523071]
[0.46482300758361816, 0.5546579957008362, 0.4753551781177521, 0.3244326710700989, 0.49420443177223206]
[0.47143203020095825, 0.560158908367157, 0.4457240104675293, 0.3138849437236786, 0.4917904734611511]
[0.4319170415401459, 0.5617080926895142, 0.4428684115409851, 0.30795422196388245, 0.48128584027290344]
[0.5894338488578796, 0.5861788988113403, 0.3948378562927246, 0.25692614912986755, 0.5739879608154297]
[0.49568018317222595, 0.5723876953125, 0.41320154070854187, 0.2866661250591278, 0.5192420482635498]
[0.5170609951019287, 0.5977020263671875, 0.4453388452529907, 0.2674436867237091, 0.5358283519744873]
[0.5438017845153809, 0.5942021012306213, 0.41521143913269043, 0.26803213357925415, 0.5571514964103699]
[0.6423520445823669, 0.5208008885383606, 0.45732542872428894, 0.3379642963409424, 0.6156503558158875]
[0.5185933113098145, 0.5886591672897339, 0.41420748829841614, 0.28358691930770874, 0.5321028828620911]
[0.4639146029949188, 0.5555030107498169, 0.4436652660369873, 0.309455931186676, 0.4851667582988739]
[0.4974372088909149, 0.573168158531189, 0.43143171072006226, 0.28781306743621826, 0.4998326301574707]
[0.3525565266609192, 0.5549966096878052, 0.4557444751262665, 0.29298844933509827, 0.43208077549934387]
[0.4639146029949188, 0.5555030107498169, 0.4436652660369873, 0.309455931186676, 0.4851667582988739]
[0.48379552364349365, 0.5937032699584961, 0.41920071840286255, 0.2830924987792969, 0.4925927221775055]
[0.4700757563114166, 0.5715046525001526, 0.4444674253463745, 0.3088325560092926, 0.5165802240371704]
[0.5185933113098145, 0.5886591672897339, 0.41420748829841614, 0.28358691930770874, 0.5321028828620911]
[0.44465014338493347, 0.5431647300720215, 0.4576825499534607, 0.3197597861289978, 0.4946834146976471]
[0.5894338488578796, 0.5861788988113403, 0.3948378562927246, 0.25692614912986755, 0.5739879608154297]
[0.5117544531822205, 0.5569489598274231, 0.44551825523376465, 0.2809695601463318, 0.5262433290481567]
[0.43873459100723267, 0.5494881868362427, 0.4394802749156952, 0.3202408254146576, 0.4862063229084015]
[0.5185933113098145, 0.5886591672897339, 0.41420748829841614, 0.28358691930770874, 0.5321028828620911]
[0.5387942790985107, 0.5303925275802612, 0.44157418608665466, 0.3096045255661011, 0.5035519003868103]
[0.416271448135376, 0.5763152837753296, 0.4356174170970917, 0.290353387594223, 0.4663355350494385]
[0.5279752612113953, 0.5621322393417358, 0.43122047185897827, 0.31908345222473145, 0.5215590000152588]
[0.5438017845153809, 0.5942021012306213, 0.41521143913269043, 0.26803213357925415, 0.5571514964103699]
[0.4758777916431427, 0.5449916124343872, 0.44346824288368225, 0.2985883951187134, 0.4835594892501831]
[0.46071532368659973, 0.5780208706855774, 0.4513796865940094, 0.29435962438583374, 0.5197639465332031]
[0.4869781732559204, 0.5689908862113953, 0.4290693700313568, 0.28768518567085266, 0.49246346950531006]
[0.4457111358642578, 0.572011411190033, 0.44958606362342834, 0.31318962574005127, 0.4954194724559784]
[0.4789506494998932, 0.5603402853012085, 0.45861777663230896, 0.3497054874897003, 0.48838022351264954]
[0.46114620566368103, 0.5880480408668518, 0.43819350004196167, 0.2841244637966156, 0.4857713282108307]
[0.4622362554073334, 0.5329123735427856, 0.44879716634750366, 0.31893646717071533, 0.5087295770645142]
[0.40477991104125977, 0.5561894774436951, 0.43773791193962097, 0.3145771920681, 0.4636388123035431]
[0.4755409061908722, 0.5476329922676086, 0.43272966146469116, 0.29918739199638367, 0.4959639310836792]
[0.540989875793457, 0.5930145978927612, 0.4058321714401245, 0.26363322138786316, 0.567043125629425]
[0.4918239414691925, 0.5611304044723511, 0.43371811509132385, 0.27846407890319824, 0.4904269576072693]
[0.48684707283973694, 0.5606576800346375, 0.45005685091018677, 0.31302550435066223, 0.4952850937843323]
[0.38911938667297363, 0.5643489956855774, 0.44647282361984253, 0.29519447684288025, 0.47907352447509766]
[0.540989875793457, 0.5930145978927612, 0.4058321714401245, 0.26363322138786316, 0.567043125629425]
[0.5438017845153809, 0.5942021012306213, 0.41521143913269043, 0.26803213357925415, 0.5571514964103699]
[0.4836679995059967, 0.5639835000038147, 0.41287508606910706, 0.2866438627243042, 0.5451740026473999]
[0.5041511654853821, 0.5791205167770386, 0.45038866996765137, 0.3066259026527405, 0.5226192474365234]
[0.44100767374038696, 0.5437836050987244, 0.461808443069458, 0.3431057035923004, 0.5229715704917908]
[0.4627065658569336, 0.551662266254425, 0.4709511399269104, 0.3807094097137451, 0.4793195426464081]
[0.45863959193229675, 0.5437027215957642, 0.4510636627674103, 0.28357112407684326, 0.49271443486213684]
[0.5594980716705322, 0.5473906397819519, 0.4316141903400421, 0.2996768653392792, 0.5492652654647827]
[0.49338552355766296, 0.5701944231987, 0.42996954917907715, 0.2845005989074707, 0.5173383951187134]
[0.4084233045578003, 0.5403083562850952, 0.48551446199417114, 0.3420058786869049, 0.42745813727378845]
