1
#紧急通知大家谨慎购买樱桃#今年樱桃里寄生了一种蛆虫,几乎100%的樱桃里面都有. 实验方法:找最好看最新鲜的樱桃,放透明玻璃杯中,倒进水去后放点盐,大约2分钟就会看到这些蛆虫从完好的表皮往外钻.求扩散。 系吃货关注
[0.5027308464050293, 0.532703697681427, 0.5155179500579834, 0.39879727363586426, 0.5371835231781006]
[0.5372493267059326, 0.5719038844108582, 0.42743924260139465, 0.28160056471824646, 0.5591946840286255]
[0.5306317210197449, 0.6074514985084534, 0.4270767867565155, 0.2711300849914551, 0.5435031652450562]
[0.5498052835464478, 0.5355772376060486, 0.437649667263031, 0.29975154995918274, 0.5620161294937134]
[0.4509105980396271, 0.5675559639930725, 0.45408758521080017, 0.31556496024131775, 0.46814656257629395]
[0.4859890341758728, 0.5474198460578918, 0.47171568870544434, 0.3782045245170593, 0.5072347521781921]
[0.504736602306366, 0.5792942047119141, 0.42256414890289307, 0.28991127014160156, 0.512336254119873]
[0.5352813005447388, 0.579226016998291, 0.43008938431739807, 0.2733688950538635, 0.5704749822616577]
[0.5114628672599792, 0.5385468006134033, 0.46059650182724, 0.3471810519695282, 0.5387616753578186]
[0.468325138092041, 0.5552511811256409, 0.45209187269210815, 0.3042643666267395, 0.5310503244400024]
[0.5225839018821716, 0.583702027797699, 0.43732357025146484, 0.2877126932144165, 0.5547024011611938]
[0.3914918303489685, 0.5124371647834778, 0.5085110664367676, 0.3854255974292755, 0.47008970379829407]
[0.5163500905036926, 0.559633195400238, 0.43665385246276855, 0.3066500723361969, 0.5105984210968018]
[0.4477876126766205, 0.5371463298797607, 0.4738370180130005, 0.35502827167510986, 0.45613062381744385]
[0.5301408767700195, 0.5898727774620056, 0.41022956371307373, 0.2531675696372986, 0.5580270886421204]
[0.4536033868789673, 0.5902352333068848, 0.42786499857902527, 0.2693879008293152, 0.5087438821792603]
[0.4826536774635315, 0.579317033290863, 0.43556463718414307, 0.288714736700058, 0.540364146232605]
[0.4107552468776703, 0.5241795182228088, 0.45481225848197937, 0.32719191908836365, 0.45324304699897766]
[0.4344322979450226, 0.5550983548164368, 0.4500744342803955, 0.303044855594635, 0.4841722846031189]
[0.4465608596801758, 0.5425034761428833, 0.4401196241378784, 0.33888721466064453, 0.5139241218566895]
[0.5043923258781433, 0.5711999535560608, 0.42201128602027893, 0.26762303709983826, 0.5205498933792114]
[0.5438017845153809, 0.5942021012306213, 0.41521143913269043, 0.26803213357925415, 0.5571514964103699]
[0.3936353623867035, 0.5482779145240784, 0.45300617814064026, 0.3108557462692261, 0.4572741389274597]
[0.5024010539054871, 0.576218843460083, 0.4227621853351593, 0.2728408873081207, 0.5507523417472839]
[0.4759432375431061, 0.5857682824134827, 0.44034257531166077, 0.27643129229545593, 0.5443246364593506]
[0.3682872951030731, 0.5410106182098389, 0.43682804703712463, 0.29630130529403687, 0.4435845613479614]
[0.4775557219982147, 0.5115386843681335, 0.47596439719200134, 0.350724995136261, 0.5251892805099487]
[0.5542227029800415, 0.5973837971687317, 0.3993431329727173, 0.24289488792419434, 0.5636979937553406]
[0.426321804523468, 0.5450674295425415, 0.4785527288913727, 0.3330722451210022, 0.4727807939052582]
[0.4935567378997803, 0.585102915763855, 0.43072620034217834, 0.2854960262775421, 0.5374647974967957]
[0.5013688206672668, 0.5713426470756531, 0.4285343587398529, 0.28505465388298035, 0.5254029631614685]
[0.5185933113098145, 0.5886591672897339, 0.41420748829841614, 0.28358691930770874, 0.5321028828620911]
[0.42694297432899475, 0.5573108196258545, 0.4905239939689636, 0.3879851996898651, 0.43646037578582764]
[0.4215647876262665, 0.543647289276123, 0.46262404322624207, 0.3634623885154724, 0.48252713680267334]
[0.5347278118133545, 0.5911832451820374, 0.4151272773742676, 0.2818816900253296, 0.5398721098899841]
[0.423480749130249, 0.5785138010978699, 0.4218646287918091, 0.2772849500179291, 0.4988260567188263]
[0.5363251566886902, 0.5933748483657837, 0.4008338749408722, 0.25280290842056274, 0.5603560209274292]
