1
【美国调查发现易拉罐上的细菌比马桶多】一妇女喝了罐饮料,被送进医院,离开了世界.验尸死于於细螺旋体病,追踪她喝的饮料,是直接用罐对嘴饮用.实验证明罐头受到鼠尿感染细螺旋体病毒.鼠尿含有毒性和致命物质.因罐头运输过程没有清洗的.喝易拉罐一定要用吸管！请转给你关心的朋友。
[0.5017276406288147, 0.5297646522521973, 0.5048670768737793, 0.38037270307540894, 0.5842486619949341]
[0.5376847982406616, 0.5804328322410583, 0.42246440052986145, 0.2877207100391388, 0.5199177861213684]
[0.48876550793647766, 0.582971453666687, 0.4279324412345886, 0.27840784192085266, 0.523659348487854]
[0.5132187008857727, 0.5795632600784302, 0.4223085045814514, 0.2669511139392853, 0.5457369685173035]
[0.5174310803413391, 0.5582447052001953, 0.46310919523239136, 0.3011702299118042, 0.5316241383552551]
[0.503241240978241, 0.5697227716445923, 0.4327014088630676, 0.2652335464954376, 0.5503829121589661]
[0.5343906283378601, 0.6031995415687561, 0.41308704018592834, 0.25599560141563416, 0.5522331595420837]
[0.43702444434165955, 0.5464454293251038, 0.461142897605896, 0.32749325037002563, 0.48918288946151733]
[0.5185933113098145, 0.5886591672897339, 0.41420748829841614, 0.28358691930770874, 0.5321028828620911]
[0.6475059390068054, 0.5089479088783264, 0.476657897233963, 0.3610661029815674, 0.6210196614265442]
[0.5419476628303528, 0.5836929678916931, 0.40197908878326416, 0.264813631772995, 0.5627780556678772]
[0.5298077464103699, 0.5928977727890015, 0.4256591498851776, 0.28714707493782043, 0.5272103548049927]
[0.5256187915802002, 0.5843284130096436, 0.43442097306251526, 0.3129938244819641, 0.5372885465621948]
[0.45128458738327026, 0.5399991869926453, 0.46820250153541565, 0.3354123532772064, 0.48196014761924744]
[0.5220680832862854, 0.5806697010993958, 0.43272536993026733, 0.26284295320510864, 0.5720188617706299]
[0.5207555294036865, 0.5824245810508728, 0.4304741621017456, 0.27471408247947693, 0.5381288528442383]
[0.5244597792625427, 0.5673940777778625, 0.42901942133903503, 0.28732484579086304, 0.508772611618042]
[0.45329371094703674, 0.5688381195068359, 0.4289989769458771, 0.293609082698822, 0.4904572367668152]
[0.46507397294044495, 0.5244781970977783, 0.498789519071579, 0.3722761869430542, 0.5155996680259705]
[0.47479167580604553, 0.5585111379623413, 0.4263782799243927, 0.2771304249763489, 0.5171235799789429]
[0.5105744004249573, 0.5812605023384094, 0.4314802587032318, 0.28148525953292847, 0.546619176864624]
[0.4011249840259552, 0.581384539604187, 0.44377896189689636, 0.2892880141735077, 0.4738696813583374]
[0.514546811580658, 0.5898691415786743, 0.41536518931388855, 0.2807086408138275, 0.5091699361801147]
[0.5190393924713135, 0.545988142490387, 0.44133415818214417, 0.32246702909469604, 0.5336087942123413]
[0.4619617462158203, 0.5608109831809998, 0.4272715449333191, 0.3113847076892853, 0.5081208348274231]
[0.3517957031726837, 0.5303928256034851, 0.5016180872917175, 0.46674612164497375, 0.4619427025318146]
[0.5054901838302612, 0.5526873469352722, 0.44472604990005493, 0.3108978867530823, 0.4982278347015381]
[0.518970251083374, 0.5874257683753967, 0.4161071181297302, 0.27027130126953125, 0.5472483038902283]
[0.5040845274925232, 0.5870080590248108, 0.41936194896698, 0.26929256319999695, 0.5485467910766602]
[0.43869197368621826, 0.5745362043380737, 0.43452438712120056, 0.27615559101104736, 0.4941025376319885]
[0.49812746047973633, 0.5737746953964233, 0.44367051124572754, 0.28588438034057617, 0.537157416343689]
[0.5168436169624329, 0.5735104084014893, 0.42776575684547424, 0.30477872490882874, 0.5291101336479187]
[0.4694288969039917, 0.5784327983856201, 0.4407172203063965, 0.2610575258731842, 0.5362945795059204]
[0.4729742109775543, 0.5632818937301636, 0.4424400329589844, 0.29409998655319214, 0.5259405970573425]
[0.5313215851783752, 0.5852211713790894, 0.4217270314693451, 0.2810743749141693, 0.5304469466209412]
[0.4357251226902008, 0.5363885164260864, 0.49846145510673523, 0.3772987425327301, 0.4668504595756531]
[0.5170314908027649, 0.5615416765213013, 0.425017774105072, 0.31722432374954224, 0.48667433857917786]
[0.46253061294555664, 0.5566330552101135, 0.44674617052078247, 0.33927619457244873, 0.49123626947402954]
[0.4351346790790558, 0.5574546456336975, 0.4150592088699341, 0.23928821086883545, 0.540745198726654]
[0.44538405537605286, 0.5627009272575378, 0.45764803886413574, 0.29033800959587097, 0.4789237380027771]
[0.42581117153167725, 0.5616727471351624, 0.4589260220527649, 0.3507356643676758, 0.4718029201030731]
[0.5435584187507629, 0.5804098844528198, 0.40078631043434143, 0.28375670313835144, 0.5442788004875183]
[0.5162274837493896, 0.5756977796554565, 0.43766435980796814, 0.2803575396537781, 0.537330150604248]
[0.5120657682418823, 0.5749218463897705, 0.4124014973640442, 0.267514169216156, 0.5384555459022522]
[0.4991672933101654, 0.5721228122711182, 0.44393330812454224, 0.2949696481227875, 0.5365155339241028]
[0.4336317479610443, 0.5595123767852783, 0.4358624219894409, 0.3138986825942993, 0.4602348804473877]
[0.5207555294036865, 0.5824245810508728, 0.4304741621017456, 0.27471408247947693, 0.5381288528442383]
[0.5095793604850769, 0.581472635269165, 0.4162249267101288, 0.28517913818359375, 0.5518160462379456]
[0.4487622082233429, 0.5716210603713989, 0.4600348174571991, 0.3031274080276489, 0.45275557041168213]
[0.43194180727005005, 0.5470156669616699, 0.4603462517261505, 0.3080901801586151, 0.506076455116272]
