1
太多装大款的人了，本人现决定：参与转发本微博并关注 中抽出65名幸运转发者,送出10部白色tr150自拍神器本微博绝对真实,活动抽取由 抽出!8月15号开奖大家可以截图,如果删除微博可以举报,送出的奖品全部公布快递信息等!
[0.528821587562561, 0.5505592226982117, 0.4334211051464081, 0.33045318722724915, 0.5230335593223572]
[0.47094839811325073, 0.5613118410110474, 0.4329978823661804, 0.2923792600631714, 0.48404666781425476]
[0.4487622082233429, 0.5716210603713989, 0.4600348174571991, 0.3031274080276489, 0.45275557041168213]
[0.45074620842933655, 0.5784384608268738, 0.4482671618461609, 0.2827679216861725, 0.5054648518562317]
[0.4792332947254181, 0.5652380585670471, 0.449900358915329, 0.32548171281814575, 0.5222277045249939]
[0.610770583152771, 0.5767358541488647, 0.385366827249527, 0.23304402828216553, 0.6013808846473694]
[0.47148582339286804, 0.5782864689826965, 0.4310886263847351, 0.2909597158432007, 0.5183003544807434]
[0.5061714053153992, 0.5675296187400818, 0.4280621409416199, 0.2885285019874573, 0.5322312712669373]
[0.4375351369380951, 0.5263824462890625, 0.45628103613853455, 0.28995952010154724, 0.4579482972621918]
[0.4483962953090668, 0.558460533618927, 0.43374332785606384, 0.32125169038772583, 0.45543530583381653]
[0.48200052976608276, 0.5560545921325684, 0.44785380363464355, 0.3299901485443115, 0.47487133741378784]
[0.5202471613883972, 0.5467565059661865, 0.43252313137054443, 0.34365901350975037, 0.5233322381973267]
[0.5843268632888794, 0.5871694684028625, 0.3729042410850525, 0.22950774431228638, 0.5898873209953308]
[0.4758692681789398, 0.5671343803405762, 0.4664519131183624, 0.3051452934741974, 0.4674079716205597]
[0.5072760581970215, 0.5804494023323059, 0.4417254328727722, 0.2708721458911896, 0.5077833533287048]
[0.5354616641998291, 0.5853303074836731, 0.42273253202438354, 0.27727022767066956, 0.5332685708999634]
[0.46473386883735657, 0.5863608121871948, 0.41841721534729004, 0.2792961001396179, 0.5134807825088501]
[0.4145596921443939, 0.5573099851608276, 0.48761308193206787, 0.352675199508667, 0.4447605013847351]
[0.32002779841423035, 0.5497403740882874, 0.4437215030193329, 0.31443026661872864, 0.4251430034637451]
[0.3261278569698334, 0.5703416466712952, 0.48361167311668396, 0.3117728531360626, 0.42550408840179443]
[0.4367864727973938, 0.579820990562439, 0.4549923837184906, 0.2779645025730133, 0.4618493318557739]
