1
网友消息 延安：#女城管#遭人肉 相册被破解#艳照#流出 踩人的胖子叫史瑞,那个黄衣服的的贱女叫郑媛媛,郑媛媛的舅舅是她所在城管大队一把手,这两货是夫妻都在延安城管大队凤凰大队
[0.49626660346984863, 0.5171411037445068, 0.517451286315918, 0.3608427345752716, 0.5103565454483032]
[0.4261602461338043, 0.5778869986534119, 0.4263501465320587, 0.272535502910614, 0.49045300483703613]
[0.4856764078140259, 0.5400615930557251, 0.46989601850509644, 0.356088787317276, 0.5029221773147583]
[0.4639146029949188, 0.5555030107498169, 0.4436652660369873, 0.309455931186676, 0.4851667582988739]
[0.3771266043186188, 0.576280951499939, 0.43294522166252136, 0.28610503673553467, 0.4699678122997284]
[0.4881467819213867, 0.5871365070343018, 0.4364507496356964, 0.2814165949821472, 0.5147450566291809]
[0.5167407989501953, 0.5651559233665466, 0.415614515542984, 0.3041277229785919, 0.514207661151886]
[0.4462738633155823, 0.5824833512306213, 0.4306223690509796, 0.270920068025589, 0.4974871277809143]
[0.5484159588813782, 0.5797537565231323, 0.43398216366767883, 0.28200721740722656, 0.5519746541976929]
[0.43372195959091187, 0.5776039361953735, 0.4284563362598419, 0.27846717834472656, 0.47131162881851196]
[0.5175056457519531, 0.5831022262573242, 0.41393226385116577, 0.27085861563682556, 0.5416839718818665]
[0.5335404872894287, 0.5639350414276123, 0.45644786953926086, 0.3506596088409424, 0.5221271514892578]
[0.44618141651153564, 0.5489852428436279, 0.44167840480804443, 0.3078874945640564, 0.4860774576663971]
[0.475189208984375, 0.5474526286125183, 0.469343364238739, 0.31727805733680725, 0.5263831615447998]
[0.5356408953666687, 0.5898059010505676, 0.411876916885376, 0.28424856066703796, 0.525294840335846]
[0.5337361097335815, 0.5534998774528503, 0.4544528126716614, 0.3188963234424591, 0.509689211845398]
[0.521691083908081, 0.5878927707672119, 0.4193263351917267, 0.279192179441452, 0.5255200266838074]
[0.42838364839553833, 0.5575682520866394, 0.4777128994464874, 0.2977539896965027, 0.4705538749694824]
[0.6261783838272095, 0.5606667399406433, 0.3796393871307373, 0.24957814812660217, 0.6046227216720581]
[0.5039493441581726, 0.5659235715866089, 0.4278848171234131, 0.28065869212150574, 0.5441201329231262]
