0
【OSEN】11日演员李准基所属社向OSEN表示“接到了#月之恋人#(音译)的提案,但还在讨论中.”据悉李准基将在剧中饰演太祖王建的第4个儿子,并成为日后的光宗.另外该剧翻拍自中国热播剧#步步惊心#,演员姜河那也于日前确定加盟,该剧预计于明年1月-2月左右开拍.
[0.5777971148490906, 0.576759397983551, 0.4349484145641327, 0.27606138586997986, 0.5264686346054077]
[0.4275378882884979, 0.5718470811843872, 0.44574612379074097, 0.29460960626602173, 0.4921588897705078]
[0.3923671543598175, 0.5259272456169128, 0.49462905526161194, 0.4232897162437439, 0.45084288716316223]
[0.525494396686554, 0.5871460437774658, 0.4368234872817993, 0.26954251527786255, 0.530534565448761]
[0.46948006749153137, 0.5536310076713562, 0.470464289188385, 0.38222771883010864, 0.47578245401382446]
[0.4491131901741028, 0.5604764819145203, 0.47728878259658813, 0.32030847668647766, 0.4985713064670563]
[0.4487622082233429, 0.5716210603713989, 0.4600348174571991, 0.3031274080276489, 0.45275557041168213]
[0.48987239599227905, 0.5287804007530212, 0.5072593092918396, 0.4256512522697449, 0.5358235836029053]
[0.4219830632209778, 0.5430177450180054, 0.447035551071167, 0.3491264581680298, 0.4626131057739258]
[0.4487622082233429, 0.5716210603713989, 0.4600348174571991, 0.3031274080276489, 0.45275557041168213]
[0.5406050682067871, 0.5756427645683289, 0.4308333098888397, 0.2718997597694397, 0.5253503918647766]
[0.34928393363952637, 0.5392799377441406, 0.4628089666366577, 0.3247562050819397, 0.41365861892700195]
[0.5529584884643555, 0.5857492685317993, 0.4260450005531311, 0.27198487520217896, 0.5556662082672119]
[0.5297753214836121, 0.5535022020339966, 0.4556032121181488, 0.3050375282764435, 0.516867458820343]
[0.44941022992134094, 0.5739697217941284, 0.48333051800727844, 0.30209049582481384, 0.45379334688186646]
[0.49010398983955383, 0.5861690044403076, 0.45148319005966187, 0.29755279421806335, 0.5057835578918457]
[0.4198405146598816, 0.530340313911438, 0.47371169924736023, 0.3669871985912323, 0.447004497051239]
[0.4451831877231598, 0.5519700646400452, 0.45332249999046326, 0.3463513255119324, 0.4740813672542572]
