0
【Dispatch】18日时尚杂志#marie claire#公开了IU的最新一组画报,画报中的IU 游走在少女和女人之间,时而纯情时而成熟,引发热议.另外IU将于21日-22日在首尔奥林匹克公园奥林匹克Hall举办单独演唱会.
[0.5488110780715942, 0.5489393472671509, 0.458091139793396, 0.2859021723270416, 0.5340915322303772]
[0.5403348803520203, 0.5007743835449219, 0.5043655633926392, 0.40712523460388184, 0.5370028614997864]
[0.6078165173530579, 0.5202714204788208, 0.46512678265571594, 0.3514026403427124, 0.5779829621315002]
[0.40193960070610046, 0.5359191298484802, 0.4615273177623749, 0.2984543442726135, 0.4566531181335449]
[0.4962030351161957, 0.5739066004753113, 0.43511950969696045, 0.30925145745277405, 0.5063530206680298]
[0.41831597685813904, 0.5811163783073425, 0.4458301067352295, 0.29824167490005493, 0.49330973625183105]
[0.5350459814071655, 0.5587504506111145, 0.44683191180229187, 0.2786458730697632, 0.5222749710083008]
[0.45504218339920044, 0.552649736404419, 0.4681169092655182, 0.3576590418815613, 0.47726836800575256]
[0.5057461857795715, 0.5834884643554688, 0.44275471568107605, 0.2940492630004883, 0.5111212730407715]
[0.4962030351161957, 0.5739066004753113, 0.43511950969696045, 0.30925145745277405, 0.5063530206680298]
[0.40193960070610046, 0.5359191298484802, 0.4615273177623749, 0.2984543442726135, 0.4566531181335449]
[0.5603275895118713, 0.5652505159378052, 0.41249802708625793, 0.27120888233184814, 0.5756585001945496]
[0.5018839836120605, 0.5388692617416382, 0.43953737616539, 0.280806303024292, 0.5317136645317078]
[0.5524808764457703, 0.5332677364349365, 0.41568878293037415, 0.2822754979133606, 0.5547154545783997]
[0.5529252886772156, 0.5092934370040894, 0.49072566628456116, 0.4115627110004425, 0.5483870506286621]
[0.40193960070610046, 0.5359191298484802, 0.4615273177623749, 0.2984543442726135, 0.4566531181335449]
[0.5138278007507324, 0.5719684362411499, 0.4300827383995056, 0.2970241904258728, 0.5164225697517395]
[0.44865262508392334, 0.5952934622764587, 0.46010899543762207, 0.3315175473690033, 0.4976736009120941]
[0.482316792011261, 0.5765266418457031, 0.4469647705554962, 0.293023020029068, 0.5262235403060913]
[0.4920957684516907, 0.5558508038520813, 0.4476378560066223, 0.31035009026527405, 0.48943039774894714]
[0.6010719537734985, 0.5904844999313354, 0.40940919518470764, 0.24647033214569092, 0.590354859828949]
[0.40193960070610046, 0.5359191298484802, 0.4615273177623749, 0.2984543442726135, 0.4566531181335449]
[0.5740845203399658, 0.5936135053634644, 0.41083574295043945, 0.2594720423221588, 0.5593022704124451]
[0.5620900988578796, 0.5942291021347046, 0.419325053691864, 0.2666260004043579, 0.5534039735794067]
[0.5563802123069763, 0.5453850030899048, 0.42616334557533264, 0.30657076835632324, 0.5698034763336182]
[0.5138278007507324, 0.5719684362411499, 0.4300827383995056, 0.2970241904258728, 0.5164225697517395]
[0.559105396270752, 0.522306501865387, 0.4514925181865692, 0.3414691686630249, 0.5410768985748291]
[0.5733299255371094, 0.5765122771263123, 0.4481789171695709, 0.29237988591194153, 0.5749047994613647]
[0.565767228603363, 0.5824441313743591, 0.4201402962207794, 0.25878337025642395, 0.5554173588752747]
[0.5618048906326294, 0.6067926287651062, 0.42539650201797485, 0.2716779112815857, 0.5620118975639343]
[0.3982803523540497, 0.5826526284217834, 0.44621196389198303, 0.29100871086120605, 0.4706617295742035]
[0.4528617262840271, 0.5640100240707397, 0.4526521861553192, 0.32616162300109863, 0.47290146350860596]
[0.533901572227478, 0.5712665319442749, 0.43107566237449646, 0.28375744819641113, 0.5486169457435608]
[0.5620900988578796, 0.5942291021347046, 0.419325053691864, 0.2666260004043579, 0.5534039735794067]
[0.5138278007507324, 0.5719684362411499, 0.4300827383995056, 0.2970241904258728, 0.5164225697517395]
[0.48663344979286194, 0.5938396453857422, 0.42074933648109436, 0.2759591042995453, 0.5159928798675537]
[0.48602139949798584, 0.56648850440979, 0.4513915479183197, 0.32340705394744873, 0.4923071265220642]
[0.5138278007507324, 0.5719684362411499, 0.4300827383995056, 0.2970241904258728, 0.5164225697517395]
[0.5138278007507324, 0.5719684362411499, 0.4300827383995056, 0.2970241904258728, 0.5164225697517395]
[0.40193960070610046, 0.5359191298484802, 0.4615273177623749, 0.2984543442726135, 0.4566531181335449]
[0.5794921517372131, 0.569953203201294, 0.38035058975219727, 0.24846312403678894, 0.5623217821121216]
[0.5070725679397583, 0.5795678496360779, 0.4309682846069336, 0.25872695446014404, 0.538472592830658]
[0.5603275895118713, 0.5652505159378052, 0.41249802708625793, 0.27120888233184814, 0.5756585001945496]
[0.5138278007507324, 0.5719684362411499, 0.4300827383995056, 0.2970241904258728, 0.5164225697517395]
[0.40193960070610046, 0.5359191298484802, 0.4615273177623749, 0.2984543442726135, 0.4566531181335449]
[0.5999689102172852, 0.5040686726570129, 0.4914591312408447, 0.36511775851249695, 0.5805212259292603]
[0.5497987270355225, 0.5957202315330505, 0.4347732961177826, 0.2648235857486725, 0.5511519908905029]
[0.466327965259552, 0.5563305616378784, 0.44984641671180725, 0.32273349165916443, 0.4895187020301819]
[0.47000131011009216, 0.5708959698677063, 0.46253275871276855, 0.30933475494384766, 0.4942266643047333]
[0.5579832792282104, 0.55368572473526, 0.44687268137931824, 0.2920365035533905, 0.5341042876243591]
[0.5642209053039551, 0.5670565962791443, 0.3873123526573181, 0.24134455621242523, 0.567826509475708]
[0.5138278007507324, 0.5719684362411499, 0.4300827383995056, 0.2970241904258728, 0.5164225697517395]
[0.40193960070610046, 0.5359191298484802, 0.4615273177623749, 0.2984543442726135, 0.4566531181335449]
[0.5257988572120667, 0.5860098004341125, 0.4087042510509491, 0.27142783999443054, 0.5429909825325012]
[0.4159824848175049, 0.5321251749992371, 0.441575825214386, 0.33133816719055176, 0.4569472372531891]
[0.5561572909355164, 0.5937171578407288, 0.41795048117637634, 0.2560843825340271, 0.5541695356369019]
[0.5620900988578796, 0.5942291021347046, 0.419325053691864, 0.2666260004043579, 0.5534039735794067]
[0.40193960070610046, 0.5359191298484802, 0.4615273177623749, 0.2984543442726135, 0.4566531181335449]
[0.533901572227478, 0.5712665319442749, 0.43107566237449646, 0.28375744819641113, 0.5486169457435608]
[0.5138278007507324, 0.5719684362411499, 0.4300827383995056, 0.2970241904258728, 0.5164225697517395]
[0.5710833072662354, 0.5436069965362549, 0.45316576957702637, 0.3158751428127289, 0.5637621879577637]
[0.39149823784828186, 0.5376311540603638, 0.4685494601726532, 0.29923754930496216, 0.44709837436676025]
[0.4900263249874115, 0.5625933408737183, 0.4450325071811676, 0.33437010645866394, 0.47359326481819153]
[0.44156694412231445, 0.5517109036445618, 0.464863657951355, 0.3291736841201782, 0.4561264216899872]
[0.4763224422931671, 0.5708287954330444, 0.43419957160949707, 0.26715087890625, 0.4662012457847595]
[0.5639102458953857, 0.5573844909667969, 0.41056323051452637, 0.26053768396377563, 0.5704477429389954]
[0.5654894113540649, 0.5566324591636658, 0.4175022840499878, 0.28711646795272827, 0.5642016530036926]
[0.4267452359199524, 0.553114652633667, 0.47376543283462524, 0.37975695729255676, 0.4703952968120575]
[0.5138278007507324, 0.5719684362411499, 0.4300827383995056, 0.2970241904258728, 0.5164225697517395]
[0.5276322960853577, 0.5849591493606567, 0.4307613968849182, 0.27003055810928345, 0.544651210308075]
[0.49280044436454773, 0.5651146173477173, 0.423778235912323, 0.30812156200408936, 0.507638692855835]
[0.5670835375785828, 0.587315559387207, 0.4100111424922943, 0.2614658772945404, 0.5614784955978394]
[0.5070725679397583, 0.5795678496360779, 0.4309682846069336, 0.25872695446014404, 0.538472592830658]
[0.40193960070610046, 0.5359191298484802, 0.4615273177623749, 0.2984543442726135, 0.4566531181335449]
[0.5845537185668945, 0.5854087471961975, 0.4352474808692932, 0.272183358669281, 0.5578688979148865]
[0.40193960070610046, 0.5359191298484802, 0.4615273177623749, 0.2984543442726135, 0.4566531181335449]
[0.4821610450744629, 0.5495501756668091, 0.46825653314590454, 0.33561208844184875, 0.5481183528900146]
[0.40221473574638367, 0.5390118360519409, 0.45319437980651855, 0.3153723478317261, 0.46862924098968506]
[0.5467734932899475, 0.571366012096405, 0.42581307888031006, 0.27115991711616516, 0.5540788769721985]
[0.535817563533783, 0.5566444396972656, 0.42184579372406006, 0.300819456577301, 0.5358408093452454]
[0.5620900988578796, 0.5942291021347046, 0.419325053691864, 0.2666260004043579, 0.5534039735794067]
[0.4636538028717041, 0.5432002544403076, 0.4878934621810913, 0.38201847672462463, 0.5023021101951599]
[0.40193960070610046, 0.5359191298484802, 0.4615273177623749, 0.2984543442726135, 0.4566531181335449]
