0
蓝脚鲣鸟,学名Sula nebouxii,又叫结巴鸟，是一种大型的热带海鸟。它们从不怕人,所以很容易被抓住,因此得到了“笨鸟”的外号。 哈哈哈蓝色的靴子好美哦
[0.34304848313331604, 0.5467864274978638, 0.5291306972503662, 0.5921752452850342, 0.5203474164009094]
[0.42978253960609436, 0.5691879391670227, 0.44664815068244934, 0.3376428484916687, 0.4818289875984192]
[0.5276309251785278, 0.5874875783920288, 0.40330156683921814, 0.26969772577285767, 0.5454034209251404]
[0.49819183349609375, 0.5695810914039612, 0.4092336595058441, 0.28381651639938354, 0.5330636501312256]
[0.47437965869903564, 0.5493373870849609, 0.47333401441574097, 0.36996138095855713, 0.49452275037765503]
[0.5520936250686646, 0.572313666343689, 0.40184590220451355, 0.26712536811828613, 0.5757388472557068]
[0.3363254964351654, 0.5505173802375793, 0.43789273500442505, 0.2914882302284241, 0.4373491108417511]
[0.42655280232429504, 0.5580854415893555, 0.45266085863113403, 0.32834190130233765, 0.48504769802093506]
[0.46087920665740967, 0.5739261507987976, 0.4408111870288849, 0.302698016166687, 0.52093106508255]
[0.5139617323875427, 0.5929368138313293, 0.41964560747146606, 0.23943687975406647, 0.5214974880218506]
[0.40114906430244446, 0.5554986000061035, 0.4492964744567871, 0.3598053455352783, 0.44207796454429626]
[0.5174325108528137, 0.5436736941337585, 0.4331689476966858, 0.3190324604511261, 0.5145626664161682]
[0.5074569582939148, 0.5694580674171448, 0.44077324867248535, 0.30899757146835327, 0.5112404227256775]
[0.52190101146698, 0.5803525447845459, 0.40056803822517395, 0.28619566559791565, 0.5238612294197083]
[0.4526383578777313, 0.5571539998054504, 0.46494776010513306, 0.34675636887550354, 0.5034450888633728]
[0.5625203251838684, 0.5606158971786499, 0.39142635464668274, 0.28708702325820923, 0.546604573726654]
[0.5852997303009033, 0.5629652142524719, 0.3847140371799469, 0.26654165983200073, 0.5812402367591858]
[0.47023507952690125, 0.5565944910049438, 0.44505318999290466, 0.32629698514938354, 0.4922495186328888]
[0.431338369846344, 0.567206084728241, 0.4456612169742584, 0.2933973968029022, 0.4765748679637909]
[0.4956178665161133, 0.5798213481903076, 0.41505712270736694, 0.29313620924949646, 0.5056296586990356]
[0.5613934993743896, 0.5593881607055664, 0.3911532163619995, 0.2878684103488922, 0.5456157922744751]
[0.44499948620796204, 0.5685514807701111, 0.45091432332992554, 0.2757515013217926, 0.5152168869972229]
[0.4365001618862152, 0.560985267162323, 0.4606035649776459, 0.29832586646080017, 0.47634580731391907]
[0.5553756356239319, 0.5182701945304871, 0.4114033877849579, 0.28063803911209106, 0.5409524440765381]
[0.5620900988578796, 0.5942291021347046, 0.419325053691864, 0.2666260004043579, 0.5534039735794067]
[0.5282400846481323, 0.5929344892501831, 0.4236587584018707, 0.271152138710022, 0.5525153875350952]
[0.48183473944664, 0.574940025806427, 0.4538934528827667, 0.33801138401031494, 0.4991247355937958]
[0.393788605928421, 0.5690038204193115, 0.47323036193847656, 0.29061034321784973, 0.4494822919368744]
[0.4684499502182007, 0.5701569318771362, 0.4457414150238037, 0.30421432852745056, 0.5272724032402039]
[0.5128301978111267, 0.5819050073623657, 0.41892826557159424, 0.2880288362503052, 0.534058153629303]
[0.4791956841945648, 0.550229549407959, 0.43884342908859253, 0.3134206235408783, 0.516554594039917]
[0.5380358099937439, 0.5891263484954834, 0.4211684763431549, 0.2883647680282593, 0.5481542348861694]
[0.5368615984916687, 0.5832588076591492, 0.4087236523628235, 0.2732592523097992, 0.5517749190330505]
[0.44214409589767456, 0.5488420724868774, 0.46411508321762085, 0.3383033573627472, 0.48117905855178833]
[0.47438013553619385, 0.5665211081504822, 0.45141738653182983, 0.3043769598007202, 0.5200186371803284]
[0.49282678961753845, 0.5596472024917603, 0.4307097792625427, 0.3075791597366333, 0.5194870233535767]
[0.5603275895118713, 0.5652505159378052, 0.41249802708625793, 0.27120888233184814, 0.5756585001945496]
[0.49961721897125244, 0.5696427226066589, 0.42408186197280884, 0.31847819685935974, 0.5227068662643433]
[0.339119553565979, 0.5309951305389404, 0.5245591402053833, 0.4107445478439331, 0.45415735244750977]
[0.5520035028457642, 0.5835800766944885, 0.4068076014518738, 0.25883346796035767, 0.5543212890625]
[0.4128290116786957, 0.5794928073883057, 0.436477929353714, 0.27975332736968994, 0.49298644065856934]
[0.43168097734451294, 0.5520201325416565, 0.4746602475643158, 0.37844133377075195, 0.4805145561695099]
[0.49819183349609375, 0.5695810914039612, 0.4092336595058441, 0.28381651639938354, 0.5330636501312256]
[0.5478252172470093, 0.5774762034416199, 0.42187854647636414, 0.28621166944503784, 0.5449382662773132]
[0.5512261390686035, 0.5829716920852661, 0.4285249412059784, 0.2811618149280548, 0.5435426831245422]
[0.5625203251838684, 0.5606158971786499, 0.39142635464668274, 0.28708702325820923, 0.546604573726654]
[0.5159921646118164, 0.5934224724769592, 0.40397581458091736, 0.2778417766094208, 0.5523955821990967]
[0.5677787661552429, 0.5943422317504883, 0.4109416902065277, 0.2806098759174347, 0.5731795430183411]
[0.5660693645477295, 0.5962872505187988, 0.4077409505844116, 0.26667365431785583, 0.5320863723754883]
[0.5070725679397583, 0.5795678496360779, 0.4309682846069336, 0.25872695446014404, 0.538472592830658]
[0.44524630904197693, 0.5576257109642029, 0.4457204043865204, 0.3305678069591522, 0.4670833647251129]
[0.4183236062526703, 0.5640770792961121, 0.42231935262680054, 0.29805707931518555, 0.4597443640232086]
[0.4760855436325073, 0.5546154379844666, 0.46618685126304626, 0.3625224828720093, 0.5008869767189026]
[0.49819183349609375, 0.5695810914039612, 0.4092336595058441, 0.28381651639938354, 0.5330636501312256]
[0.5294715166091919, 0.5851860642433167, 0.4136587083339691, 0.25373905897140503, 0.5542038083076477]
[0.420169860124588, 0.5725922584533691, 0.4246465563774109, 0.28258243203163147, 0.4972594082355499]
[0.5625203251838684, 0.5606158971786499, 0.39142635464668274, 0.28708702325820923, 0.546604573726654]
[0.4514324963092804, 0.5575992465019226, 0.45350131392478943, 0.340752512216568, 0.48385897278785706]
[0.5094775557518005, 0.5546817779541016, 0.43295684456825256, 0.3072015941143036, 0.5534321069717407]
[0.5203087329864502, 0.5855962634086609, 0.421448290348053, 0.27114203572273254, 0.5542250871658325]
[0.44214409589767456, 0.5488420724868774, 0.46411508321762085, 0.3383033573627472, 0.48117905855178833]
[0.34304848313331604, 0.5467864274978638, 0.5291306972503662, 0.5921752452850342, 0.5203474164009094]
[0.46948686242103577, 0.539406955242157, 0.4733041524887085, 0.3392743766307831, 0.5169301629066467]
[0.5512261390686035, 0.5829716920852661, 0.4285249412059784, 0.2811618149280548, 0.5435426831245422]
[0.4514324963092804, 0.5575992465019226, 0.45350131392478943, 0.340752512216568, 0.48385897278785706]
[0.4692584276199341, 0.5419567823410034, 0.4439738988876343, 0.29201754927635193, 0.5049102902412415]
