0
【住建部：北京雾霾主因是汽车尾气，不是供暖】住建部负责人称，表面看是供暖导致雾霾,但根子还是供暖结构和消费模式不合理。北方绝大部分地区城镇和农村建筑采暖靠燃煤,且存在大量低质煤。城市大院、农村民宅使用的独立小锅炉较多,污染物的排放就比较大。而北京雾霾的主要原因是汽车尾气,不是供暖。
[0.519247829914093, 0.53765469789505, 0.540281355381012, 0.3775986135005951, 0.5598648190498352]
[0.5234772562980652, 0.5769899487495422, 0.42629286646842957, 0.29781976342201233, 0.5223684310913086]
[0.5357650518417358, 0.5680465698242188, 0.43423980474472046, 0.27774015069007874, 0.55019211769104]
[0.472612589597702, 0.5769625902175903, 0.4684414565563202, 0.29848986864089966, 0.527694582939148]
[0.43302130699157715, 0.5729644298553467, 0.46037372946739197, 0.3085173964500427, 0.48123326897621155]
[0.5438017845153809, 0.5942021012306213, 0.41521143913269043, 0.26803213357925415, 0.5571514964103699]
[0.4712045192718506, 0.5352989435195923, 0.4806012213230133, 0.3721422255039215, 0.5168397426605225]
[0.5540948510169983, 0.5698285698890686, 0.3961835503578186, 0.2463841289281845, 0.5952411890029907]
[0.48042407631874084, 0.5697782635688782, 0.4777814745903015, 0.33427390456199646, 0.5213485360145569]
[0.485016793012619, 0.5490753650665283, 0.45690590143203735, 0.3160887658596039, 0.525484025478363]
[0.5006610751152039, 0.5408158898353577, 0.49981051683425903, 0.41952696442604065, 0.5037992596626282]
[0.5407167077064514, 0.6046335101127625, 0.4269522726535797, 0.2638828754425049, 0.5547890663146973]
[0.4477939307689667, 0.5315677523612976, 0.4460975229740143, 0.3286958634853363, 0.47970396280288696]
[0.41660237312316895, 0.5346949696540833, 0.5264376997947693, 0.43346863985061646, 0.490881085395813]
[0.4625930190086365, 0.5653220415115356, 0.45760488510131836, 0.29697880148887634, 0.5108147859573364]
[0.44405221939086914, 0.5852465629577637, 0.4193163514137268, 0.26584166288375854, 0.5048263072967529]
[0.47159165143966675, 0.5814562439918518, 0.4314822256565094, 0.3037547171115875, 0.4885098934173584]
[0.5506457686424255, 0.5249377489089966, 0.5301992297172546, 0.4528103172779083, 0.5824024677276611]
[0.5140369534492493, 0.5659936666488647, 0.42284640669822693, 0.29747918248176575, 0.5046261548995972]
