0
【naver综合】11日播出的JTBC新综艺#他人的取向#中,Jackson很早就起床去卫生间为外出做准备,此时他脱掉上衣,展现出结实的腹肌.
[0.4802853465080261, 0.4765673875808716, 0.5299067497253418, 0.4122348427772522, 0.4665732979774475]
[0.479831337928772, 0.5767385363578796, 0.4516947865486145, 0.2833046615123749, 0.5174309611320496]
[0.47578445076942444, 0.5910149216651917, 0.43078696727752686, 0.27554741501808167, 0.5205218195915222]
[0.4484504461288452, 0.5614439845085144, 0.45722851157188416, 0.3238384425640106, 0.47790178656578064]
[0.499228298664093, 0.5492346882820129, 0.4422394335269928, 0.3096010982990265, 0.4959142506122589]
[0.5361760258674622, 0.5743968486785889, 0.42612361907958984, 0.2907158434391022, 0.5524410605430603]
[0.5073107481002808, 0.5245224237442017, 0.5023585557937622, 0.38631516695022583, 0.5036014914512634]
[0.432733416557312, 0.5518526434898376, 0.462411493062973, 0.32060176134109497, 0.4746161699295044]
[0.46842795610427856, 0.5503861904144287, 0.44142937660217285, 0.2933255136013031, 0.5284180045127869]
[0.5484781265258789, 0.5923879146575928, 0.4319078326225281, 0.25269681215286255, 0.5469984412193298]
[0.4802302420139313, 0.5543729066848755, 0.46365419030189514, 0.3194092810153961, 0.4992099404335022]
[0.47549447417259216, 0.5793166160583496, 0.45758843421936035, 0.2901821732521057, 0.5226271748542786]
[0.5324626564979553, 0.5826635360717773, 0.4457378387451172, 0.29256290197372437, 0.5581185817718506]
[0.5442008376121521, 0.553407609462738, 0.43789270520210266, 0.2819669842720032, 0.5326721668243408]
[0.5459407567977905, 0.576118528842926, 0.42850375175476074, 0.2854309678077698, 0.5743436813354492]
[0.5125349164009094, 0.5771629214286804, 0.44670119881629944, 0.29077956080436707, 0.5278807282447815]
[0.5439791679382324, 0.5406119227409363, 0.4444628059864044, 0.31991180777549744, 0.5692530274391174]
[0.5529305338859558, 0.6040911674499512, 0.4123745858669281, 0.26711076498031616, 0.5510141849517822]
[0.5447851419448853, 0.5561461448669434, 0.40804269909858704, 0.2612389028072357, 0.5415282845497131]
[0.5860993266105652, 0.5495831370353699, 0.3986915051937103, 0.2574824094772339, 0.5811982750892639]
[0.5070725679397583, 0.5795678496360779, 0.4309682846069336, 0.25872695446014404, 0.538472592830658]
[0.475446879863739, 0.5651642680168152, 0.44992607831954956, 0.28368762135505676, 0.5033164620399475]
[0.5566429495811462, 0.5271609425544739, 0.5086522698402405, 0.421636700630188, 0.5737095475196838]
[0.5360859632492065, 0.5905990600585938, 0.418875128030777, 0.28486743569374084, 0.5419809222221375]
[0.4502635598182678, 0.5339612364768982, 0.48809173703193665, 0.3972361087799072, 0.5014935731887817]
[0.555363655090332, 0.5508251786231995, 0.4617650806903839, 0.34262269735336304, 0.5199987888336182]
[0.390362948179245, 0.5616288185119629, 0.42630425095558167, 0.27212727069854736, 0.4660070538520813]
[0.5813930630683899, 0.4971609115600586, 0.4791995584964752, 0.39902687072753906, 0.5957764387130737]
[0.4081690311431885, 0.5637428164482117, 0.45147988200187683, 0.2600851356983185, 0.4593270421028137]
[0.4873652160167694, 0.5548514723777771, 0.46772506833076477, 0.3325141668319702, 0.5175102353096008]
[0.5103743076324463, 0.5769543647766113, 0.4156924784183502, 0.2727145850658417, 0.5084856748580933]
[0.5070725679397583, 0.5795678496360779, 0.4309682846069336, 0.25872695446014404, 0.538472592830658]
[0.5758468508720398, 0.5901648998260498, 0.430378794670105, 0.2576752305030823, 0.5736340880393982]
[0.4845036566257477, 0.5632508993148804, 0.4364231526851654, 0.30347028374671936, 0.5154315829277039]
[0.4796038568019867, 0.5383623242378235, 0.4653451144695282, 0.3349146842956543, 0.5112061500549316]
[0.39143744111061096, 0.5336147546768188, 0.4985435903072357, 0.371544748544693, 0.4715178310871124]
[0.5433636903762817, 0.5637151002883911, 0.42703330516815186, 0.2657608985900879, 0.5413426160812378]
[0.5431756377220154, 0.5817350149154663, 0.42338037490844727, 0.24685819447040558, 0.5204350352287292]
[0.5255293846130371, 0.5807477235794067, 0.42128801345825195, 0.2691207826137543, 0.563538670539856]
[0.5706943869590759, 0.5702118277549744, 0.38746902346611023, 0.245292067527771, 0.581840455532074]
[0.5294542908668518, 0.5727054476737976, 0.41095632314682007, 0.2688194215297699, 0.5431511402130127]
[0.539556086063385, 0.5710315108299255, 0.43362709879875183, 0.2890254855155945, 0.538884162902832]
[0.4779564440250397, 0.5653399229049683, 0.4742870032787323, 0.3277570307254791, 0.5010320544242859]
[0.47554489970207214, 0.559195876121521, 0.43080422282218933, 0.3040972650051117, 0.4699688255786896]
[0.5309171080589294, 0.5904629826545715, 0.4423774480819702, 0.2810690999031067, 0.5560616850852966]
[0.46789276599884033, 0.564033031463623, 0.41413673758506775, 0.2543685734272003, 0.5059012770652771]
[0.4678041636943817, 0.5561840534210205, 0.484729528427124, 0.33961692452430725, 0.5171852707862854]
[0.48683470487594604, 0.5236728191375732, 0.5106589198112488, 0.37650904059410095, 0.5283641219139099]
[0.5725855827331543, 0.5216341018676758, 0.4659302234649658, 0.3309646546840668, 0.5284712910652161]
[0.5149213075637817, 0.5745115280151367, 0.4294396936893463, 0.2818833291530609, 0.5206738114356995]
[0.5658071637153625, 0.5625609755516052, 0.426708847284317, 0.2754896283149719, 0.570533275604248]
[0.5149213075637817, 0.5745115280151367, 0.4294396936893463, 0.2818833291530609, 0.5206738114356995]
[0.5633841156959534, 0.5863114595413208, 0.41094428300857544, 0.25876933336257935, 0.546488344669342]
[0.5593618750572205, 0.545975387096405, 0.44025999307632446, 0.30903875827789307, 0.5566938519477844]
[0.46637246012687683, 0.546970546245575, 0.4375753402709961, 0.31982186436653137, 0.4923270046710968]
[0.35272935032844543, 0.57756108045578, 0.4564403295516968, 0.3002152442932129, 0.44867509603500366]
[0.5596571564674377, 0.5272548794746399, 0.46336525678634644, 0.35094642639160156, 0.5590693950653076]
[0.49547886848449707, 0.5356026887893677, 0.45167696475982666, 0.337051123380661, 0.4697047770023346]
[0.5176181197166443, 0.5716049671173096, 0.41770127415657043, 0.28232526779174805, 0.5365964770317078]
[0.4797663986682892, 0.562056303024292, 0.44738855957984924, 0.31296104192733765, 0.5376176834106445]
[0.5048895478248596, 0.5646257996559143, 0.45260345935821533, 0.3069688677787781, 0.5216990113258362]
[0.4853501617908478, 0.5666062235832214, 0.4712744653224945, 0.34950166940689087, 0.5136357545852661]
[0.5212462544441223, 0.5789659023284912, 0.4357566833496094, 0.2976625859737396, 0.55750972032547]
[0.45256859064102173, 0.5497245192527771, 0.46082794666290283, 0.3406875431537628, 0.471771776676178]
[0.5552852153778076, 0.5857468843460083, 0.4001559317111969, 0.27149248123168945, 0.5646634697914124]
[0.6051496267318726, 0.5535889267921448, 0.3821220099925995, 0.2530539333820343, 0.5865166783332825]
[0.5758468508720398, 0.5901648998260498, 0.430378794670105, 0.2576752305030823, 0.5736340880393982]
[0.5635300278663635, 0.5940263867378235, 0.38853105902671814, 0.25554636120796204, 0.5687398314476013]
[0.5535591244697571, 0.5535222887992859, 0.45522060990333557, 0.3014008700847626, 0.5513548851013184]
[0.39293479919433594, 0.5386663675308228, 0.4704514145851135, 0.33037856221199036, 0.43895116448402405]
[0.4585508406162262, 0.5561788082122803, 0.4747145175933838, 0.333886057138443, 0.48543596267700195]
[0.5712099075317383, 0.5785832405090332, 0.4143501818180084, 0.24996432662010193, 0.5555665493011475]
[0.44348230957984924, 0.560778021812439, 0.45004934072494507, 0.3450186848640442, 0.4767533242702484]
[0.39736202359199524, 0.5309632420539856, 0.4638824462890625, 0.3383497893810272, 0.44113996624946594]
[0.44231340289115906, 0.5495736598968506, 0.4536171555519104, 0.3100889325141907, 0.4607553780078888]
[0.44200506806373596, 0.5514321327209473, 0.44859498739242554, 0.3251456618309021, 0.4849322438240051]
[0.4928249418735504, 0.5804330110549927, 0.4542067348957062, 0.30685314536094666, 0.532146692276001]
[0.5797991156578064, 0.5191929936408997, 0.49590709805488586, 0.3894222378730774, 0.5804008841514587]
[0.5154231786727905, 0.5783094167709351, 0.43572530150413513, 0.30422309041023254, 0.551304280757904]
[0.4483840763568878, 0.5423797965049744, 0.4671836197376251, 0.33088743686676025, 0.5093986988067627]
[0.5660188794136047, 0.5218290686607361, 0.46619343757629395, 0.3771698772907257, 0.5243080854415894]
[0.572300136089325, 0.5710878372192383, 0.413677841424942, 0.26115167140960693, 0.5719351768493652]
[0.538594126701355, 0.5828717350959778, 0.41145968437194824, 0.26540669798851013, 0.5585629343986511]
[0.50567626953125, 0.5816835165023804, 0.43891000747680664, 0.27278777956962585, 0.5387631058692932]
[0.5054603219032288, 0.5624378323554993, 0.42403456568717957, 0.26496851444244385, 0.506270706653595]
[0.537019670009613, 0.5882126092910767, 0.42633700370788574, 0.2716237008571625, 0.576607346534729]
[0.5241093635559082, 0.5573395490646362, 0.44380900263786316, 0.27247682213783264, 0.5350464582443237]
[0.5732982754707336, 0.5020516514778137, 0.5492660999298096, 0.5117207169532776, 0.5662488341331482]
[0.5414637327194214, 0.5761888027191162, 0.42070481181144714, 0.2948131263256073, 0.5598164200782776]
[0.48827826976776123, 0.5424433946609497, 0.43423381447792053, 0.26807764172554016, 0.5169572830200195]
[0.5426040291786194, 0.5750249028205872, 0.42167556285858154, 0.2789612114429474, 0.553401529788971]
[0.5444002747535706, 0.5663224458694458, 0.41967037320137024, 0.2881081700325012, 0.5384171009063721]
[0.3386967182159424, 0.5303266048431396, 0.488329142332077, 0.40788957476615906, 0.41523477435112]
[0.4791071116924286, 0.5336703062057495, 0.47123631834983826, 0.32433199882507324, 0.5152580738067627]
[0.5482087731361389, 0.5580232739448547, 0.4635471999645233, 0.32658034563064575, 0.536209762096405]
[0.5073204040527344, 0.5677956342697144, 0.41836273670196533, 0.26697230339050293, 0.5187963843345642]
[0.5663508772850037, 0.5615630149841309, 0.4411085546016693, 0.3031145930290222, 0.5664108991622925]
[0.5145130753517151, 0.5831129550933838, 0.43875372409820557, 0.27214887738227844, 0.5454989671707153]
[0.49730363488197327, 0.5486396551132202, 0.46032074093818665, 0.3480913043022156, 0.4982587695121765]
[0.4616832435131073, 0.5625901818275452, 0.470851331949234, 0.3140484690666199, 0.5202478766441345]
[0.43961384892463684, 0.5633520483970642, 0.4360753893852234, 0.3013474643230438, 0.5108795762062073]
