0
Taking in that beautiful Shanghai crowd with gypsymoonshine,melanienyema,clareturtonderrico,eliottenicole So stoked to play 2 more here! -
[0.45879194140434265, 0.5243721008300781, 0.47404417395591736, 0.39901912212371826, 0.48984628915786743]
[0.5497987270355225, 0.5957202315330505, 0.4347732961177826, 0.2648235857486725, 0.5511519908905029]
[0.47999194264411926, 0.5649113655090332, 0.46520760655403137, 0.3027653992176056, 0.49118560552597046]
[0.5368318557739258, 0.5820958018302917, 0.415561318397522, 0.2894231379032135, 0.5661302804946899]
[0.42260679602622986, 0.5548407435417175, 0.4704723060131073, 0.36635270714759827, 0.4304707646369934]
[0.4832698106765747, 0.5693800449371338, 0.4648309051990509, 0.30451056361198425, 0.5062509775161743]
[0.4830474555492401, 0.57178795337677, 0.43744856119155884, 0.30996498465538025, 0.5329141020774841]
[0.5035515427589417, 0.5786625146865845, 0.4353013038635254, 0.2871187627315521, 0.5400813817977905]
[0.5488864779472351, 0.5435926914215088, 0.4359341561794281, 0.2898798882961273, 0.5278174877166748]
[0.5214514136314392, 0.5555474162101746, 0.4550265967845917, 0.31520500779151917, 0.5041624903678894]
[0.5186339020729065, 0.5776795148849487, 0.42441850900650024, 0.25553184747695923, 0.5272746086120605]
[0.5603809952735901, 0.5752187371253967, 0.41914790868759155, 0.2890948951244354, 0.5592368245124817]
[0.47871625423431396, 0.5378704071044922, 0.450332909822464, 0.3583489656448364, 0.4809055030345917]
[0.5509335398674011, 0.5293029546737671, 0.42106547951698303, 0.2860996723175049, 0.5562995672225952]
[0.46470707654953003, 0.5611552000045776, 0.46064600348472595, 0.30269747972488403, 0.4872797727584839]
[0.5248547196388245, 0.5818067193031311, 0.44798821210861206, 0.29626330733299255, 0.5329034924507141]
[0.5057259202003479, 0.5789288878440857, 0.43610912561416626, 0.27199849486351013, 0.5130650997161865]
[0.40027305483818054, 0.543989896774292, 0.462466299533844, 0.3624311685562134, 0.4356335699558258]
[0.5102272033691406, 0.5941962003707886, 0.4152432680130005, 0.2728883922100067, 0.5291255712509155]
[0.5105692148208618, 0.5804498791694641, 0.42864519357681274, 0.2868810296058655, 0.5559597611427307]
[0.3967093527317047, 0.5517565608024597, 0.4713621139526367, 0.36151212453842163, 0.44200649857521057]
[0.4894145131111145, 0.5828933715820312, 0.4407338798046112, 0.2955814599990845, 0.49619609117507935]
[0.45756158232688904, 0.5911958813667297, 0.42075663805007935, 0.28191858530044556, 0.5100549459457397]
[0.6000707149505615, 0.5337573289871216, 0.47871658205986023, 0.3712497651576996, 0.5988777875900269]
[0.49677345156669617, 0.583400547504425, 0.43063271045684814, 0.25414901971817017, 0.511957049369812]
[0.5233802795410156, 0.5835747718811035, 0.44122210144996643, 0.29327645897865295, 0.5552376508712769]
[0.5559578537940979, 0.5948796272277832, 0.4146459102630615, 0.2534983456134796, 0.5738736391067505]
[0.47543513774871826, 0.5725083947181702, 0.43072691559791565, 0.28941962122917175, 0.5102953314781189]
[0.5867021679878235, 0.5398283004760742, 0.4151143729686737, 0.26663580536842346, 0.5915404558181763]
[0.44317594170570374, 0.5826123952865601, 0.45186227560043335, 0.30979639291763306, 0.4649365246295929]
[0.5183902978897095, 0.5588008165359497, 0.4445333778858185, 0.2882685661315918, 0.5285976529121399]
[0.530214250087738, 0.5610953569412231, 0.4320421516895294, 0.31538423895835876, 0.5375766754150391]
[0.5278187990188599, 0.5579535365104675, 0.4172317683696747, 0.27254512906074524, 0.5337409973144531]
[0.4335666596889496, 0.5559165477752686, 0.4870748817920685, 0.3531651794910431, 0.46806642413139343]
[0.4869135022163391, 0.5509332418441772, 0.44283512234687805, 0.3018137514591217, 0.48785340785980225]
[0.5260461568832397, 0.5862242579460144, 0.4310151934623718, 0.2730245292186737, 0.5295546650886536]
[0.45335182547569275, 0.5361066460609436, 0.466604083776474, 0.3657519817352295, 0.4870569407939911]
[0.5801817178726196, 0.5492860674858093, 0.43279919028282166, 0.2855648398399353, 0.5500373244285583]
[0.49819183349609375, 0.5695810914039612, 0.4092336595058441, 0.28381651639938354, 0.5330636501312256]
[0.49819183349609375, 0.5695810914039612, 0.4092336595058441, 0.28381651639938354, 0.5330636501312256]
[0.5230081081390381, 0.5664284229278564, 0.464111328125, 0.3163359463214874, 0.5297647714614868]
[0.5020223259925842, 0.5569790601730347, 0.4405554234981537, 0.2770531177520752, 0.5120174288749695]
[0.5070725679397583, 0.5795678496360779, 0.4309682846069336, 0.25872695446014404, 0.538472592830658]
[0.5001056790351868, 0.5676376819610596, 0.42465806007385254, 0.3167504668235779, 0.5362147688865662]
[0.5075226426124573, 0.5691831111907959, 0.46305611729621887, 0.2837481200695038, 0.5303807258605957]
[0.5047623515129089, 0.5557014346122742, 0.4546546936035156, 0.3196922540664673, 0.5281672477722168]
[0.34069907665252686, 0.5612298250198364, 0.4531823396682739, 0.3196280002593994, 0.41832369565963745]
[0.5135907530784607, 0.5765295624732971, 0.4076368808746338, 0.2648414969444275, 0.539332389831543]
[0.4957467317581177, 0.5776309370994568, 0.4508141875267029, 0.3010648190975189, 0.5466368198394775]
[0.5070725679397583, 0.5795678496360779, 0.4309682846069336, 0.25872695446014404, 0.538472592830658]
[0.460578590631485, 0.5450460314750671, 0.5334840416908264, 0.46581971645355225, 0.5191196799278259]
[0.4777146577835083, 0.5806421637535095, 0.41758817434310913, 0.2892606258392334, 0.5070281624794006]
[0.5596101880073547, 0.5749722123146057, 0.42616578936576843, 0.27577778697013855, 0.5535572171211243]
[0.4829678237438202, 0.5692330002784729, 0.4349924325942993, 0.3023545444011688, 0.5081954598426819]
[0.5007376670837402, 0.5685719847679138, 0.4494970738887787, 0.3057832419872284, 0.5203813314437866]
[0.45745334029197693, 0.5802440643310547, 0.4490275979042053, 0.26920217275619507, 0.4815620183944702]
[0.5958520770072937, 0.584710955619812, 0.38447436690330505, 0.25102582573890686, 0.6016527414321899]
[0.5390099287033081, 0.5853466987609863, 0.43069031834602356, 0.27350082993507385, 0.5540049076080322]
[0.4771979749202728, 0.5815091729164124, 0.4482015371322632, 0.29395636916160583, 0.5121709108352661]
[0.49819183349609375, 0.5695810914039612, 0.4092336595058441, 0.28381651639938354, 0.5330636501312256]
[0.4466418921947479, 0.5342621207237244, 0.4900131821632385, 0.31714528799057007, 0.48999518156051636]
[0.5352158546447754, 0.5719998478889465, 0.4272702932357788, 0.29102158546447754, 0.5459885001182556]
[0.5352158546447754, 0.5719998478889465, 0.4272702932357788, 0.29102158546447754, 0.5459885001182556]
[0.48826855421066284, 0.5674444437026978, 0.4529261887073517, 0.34287941455841064, 0.5249985456466675]
[0.5504789352416992, 0.5504522323608398, 0.46797049045562744, 0.3006422519683838, 0.5575739741325378]
[0.5063601732254028, 0.5727595686912537, 0.4222470819950104, 0.27198895812034607, 0.5212894678115845]
[0.5231831073760986, 0.5927172899246216, 0.41695940494537354, 0.26191624999046326, 0.549167275428772]
[0.5141872763633728, 0.570747435092926, 0.423766553401947, 0.2968786656856537, 0.5278871655464172]
[0.4746592938899994, 0.5450646877288818, 0.4473871886730194, 0.3502582013607025, 0.5025380253791809]
[0.46313712000846863, 0.5642979741096497, 0.45846953988075256, 0.30895349383354187, 0.488044410943985]
[0.49819183349609375, 0.5695810914039612, 0.4092336595058441, 0.28381651639938354, 0.5330636501312256]
[0.4664462208747864, 0.5543939471244812, 0.45662835240364075, 0.33452901244163513, 0.49683183431625366]
[0.48471125960350037, 0.5462263226509094, 0.47140389680862427, 0.3706991672515869, 0.503191351890564]
[0.4580995440483093, 0.5844680666923523, 0.4141620993614197, 0.27502262592315674, 0.5240808725357056]
[0.5093339681625366, 0.5731584429740906, 0.4224861264228821, 0.293302446603775, 0.5344887971878052]
[0.47431060671806335, 0.5860564708709717, 0.42435362935066223, 0.250439316034317, 0.5015828013420105]
[0.414260596036911, 0.542984664440155, 0.46145907044410706, 0.3720555901527405, 0.44951900839805603]
[0.49121803045272827, 0.5754942297935486, 0.4271445870399475, 0.28723740577697754, 0.5330908894538879]
[0.5537000298500061, 0.5755696892738342, 0.40034452080726624, 0.2699815034866333, 0.5676373839378357]
[0.4264881908893585, 0.5688546895980835, 0.436411052942276, 0.29729461669921875, 0.46841782331466675]
