0
【tvreport独家】22日据电视台表示,李洪基确定以主持的身份出演12月5日播出的#SNL Korea6#.李洪基在近期出演了许多综艺节目,发射了不同他人的异能感,让人十分期待他在<SNL6>的表现.
[0.5009866952896118, 0.49946531653404236, 0.5257900357246399, 0.39509066939353943, 0.46595677733421326]
[0.4893496632575989, 0.5894461870193481, 0.43016114830970764, 0.2645202875137329, 0.5193763971328735]
[0.5291722416877747, 0.5348153710365295, 0.45489421486854553, 0.33006930351257324, 0.5345178842544556]
[0.3880660831928253, 0.5294804573059082, 0.5019200444221497, 0.4002898335456848, 0.4967546761035919]
[0.5382819771766663, 0.5617827773094177, 0.44313549995422363, 0.278083473443985, 0.5394090414047241]
[0.4971599578857422, 0.5482383370399475, 0.49296441674232483, 0.37503334879875183, 0.4956621527671814]
[0.5290706157684326, 0.5841274261474609, 0.44298791885375977, 0.30573686957359314, 0.5484008193016052]
[0.5242961049079895, 0.579119861125946, 0.44409048557281494, 0.301412433385849, 0.5542022585868835]
[0.3536585867404938, 0.561711847782135, 0.4298149049282074, 0.27608194947242737, 0.44226711988449097]
[0.5774654746055603, 0.5118831396102905, 0.44798171520233154, 0.36682233214378357, 0.5668390393257141]
[0.5957152247428894, 0.5852094888687134, 0.4040760099887848, 0.24508197605609894, 0.5920324921607971]
[0.4195609986782074, 0.5786226987838745, 0.4487170875072479, 0.32363805174827576, 0.48066672682762146]
[0.5675005316734314, 0.5955690145492554, 0.40575820207595825, 0.25411516427993774, 0.5487556457519531]
[0.5126360654830933, 0.5549831986427307, 0.455826073884964, 0.3364039659500122, 0.507023811340332]
[0.6133100390434265, 0.5773459076881409, 0.3894161581993103, 0.2647770047187805, 0.5844712257385254]
[0.5541835427284241, 0.5568364262580872, 0.4444274306297302, 0.2717202305793762, 0.5598997473716736]
[0.6001796722412109, 0.5346847176551819, 0.4119425117969513, 0.3070918619632721, 0.5690608620643616]
[0.3267149031162262, 0.5607776045799255, 0.4943767189979553, 0.41063573956489563, 0.4750080406665802]
[0.4644729495048523, 0.5814636945724487, 0.4318816661834717, 0.29194673895835876, 0.506933331489563]
[0.48121222853660583, 0.5666285157203674, 0.43131211400032043, 0.2899840474128723, 0.4905533194541931]
[0.5163440704345703, 0.569268524646759, 0.41554349660873413, 0.28172704577445984, 0.5262464284896851]
[0.5392423272132874, 0.5508044958114624, 0.4538799822330475, 0.2745829224586487, 0.5447677373886108]
[0.4594116508960724, 0.5348040461540222, 0.49091625213623047, 0.36994773149490356, 0.49695804715156555]
[0.5169094204902649, 0.5959646701812744, 0.42362505197525024, 0.25689977407455444, 0.5240118503570557]
[0.5364140272140503, 0.5467942953109741, 0.4686846435070038, 0.2829401195049286, 0.537643551826477]
[0.5150361061096191, 0.542035698890686, 0.44379642605781555, 0.3051220774650574, 0.5325523614883423]
[0.42645618319511414, 0.5639510750770569, 0.4549804925918579, 0.3221416175365448, 0.4675178825855255]
[0.5382819771766663, 0.5617827773094177, 0.44313549995422363, 0.278083473443985, 0.5394090414047241]
[0.5244597792625427, 0.5673940777778625, 0.42901942133903503, 0.28732484579086304, 0.508772611618042]
[0.5481946468353271, 0.5556572079658508, 0.4578200876712799, 0.26441308856010437, 0.546869158744812]
[0.47885408997535706, 0.5346779227256775, 0.47575822472572327, 0.3173849880695343, 0.49337005615234375]
[0.4578593671321869, 0.5585700869560242, 0.4368141293525696, 0.3134894073009491, 0.4793700575828552]
[0.5274223685264587, 0.5739001631736755, 0.43569886684417725, 0.28801342844963074, 0.5225517153739929]
[0.5257146954536438, 0.5776588916778564, 0.4153372049331665, 0.27185577154159546, 0.5695675015449524]
[0.39978039264678955, 0.544257402420044, 0.4506548345088959, 0.3157199025154114, 0.4507627487182617]
[0.46984410285949707, 0.5810651779174805, 0.4341309070587158, 0.2763417065143585, 0.5008820295333862]
[0.41102468967437744, 0.5653745532035828, 0.4453340470790863, 0.2967749238014221, 0.4691099524497986]
[0.5491079092025757, 0.5434979796409607, 0.401329904794693, 0.2919882535934448, 0.5581549406051636]
[0.4536547362804413, 0.5698996186256409, 0.4290262460708618, 0.27178412675857544, 0.48459702730178833]
[0.5313973426818848, 0.5478929877281189, 0.4587162733078003, 0.2774190306663513, 0.5448068976402283]
[0.5448343753814697, 0.5354238748550415, 0.46556800603866577, 0.3156023919582367, 0.5441194772720337]
[0.5572943687438965, 0.5736318230628967, 0.42304694652557373, 0.23547281324863434, 0.5508420467376709]
[0.5311505198478699, 0.5638688206672668, 0.4375576376914978, 0.2570917308330536, 0.5499528050422668]
[0.4729410409927368, 0.55136638879776, 0.45277366042137146, 0.3055494427680969, 0.5016928911209106]
[0.4224758446216583, 0.5504172444343567, 0.4740968942642212, 0.363971471786499, 0.4876341223716736]
[0.49014371633529663, 0.5588809251785278, 0.5004898309707642, 0.3893030285835266, 0.4878319501876831]
[0.5465072393417358, 0.5656857490539551, 0.43816491961479187, 0.26382508873939514, 0.5645241141319275]
[0.4590359330177307, 0.5529037714004517, 0.45599058270454407, 0.32860100269317627, 0.4666125774383545]
[0.5377233624458313, 0.5976575613021851, 0.4238501489162445, 0.2479858696460724, 0.5553117394447327]
[0.3702097535133362, 0.5214695930480957, 0.47446125745773315, 0.3597356379032135, 0.43823662400245667]
[0.5767735242843628, 0.5538193583488464, 0.40110349655151367, 0.2625049352645874, 0.5682731866836548]
[0.49842220544815063, 0.5520256161689758, 0.46883460879325867, 0.35515323281288147, 0.5474296808242798]
[0.5070725679397583, 0.5795678496360779, 0.4309682846069336, 0.25872695446014404, 0.538472592830658]
[0.5388242602348328, 0.5909347534179688, 0.4178812801837921, 0.24557191133499146, 0.5594409108161926]
[0.5151771903038025, 0.5847384929656982, 0.4222971200942993, 0.27482789754867554, 0.562267541885376]
[0.6053845882415771, 0.59861159324646, 0.39984968304634094, 0.23125310242176056, 0.584540843963623]
[0.38448289036750793, 0.5719345808029175, 0.46352618932724, 0.2994266152381897, 0.45167627930641174]
[0.49594780802726746, 0.5566544532775879, 0.4398564398288727, 0.2590985894203186, 0.5358323454856873]
[0.5070725679397583, 0.5795678496360779, 0.4309682846069336, 0.25872695446014404, 0.538472592830658]
[0.529593825340271, 0.5733399391174316, 0.43780645728111267, 0.25642216205596924, 0.5536705255508423]
[0.4856916666030884, 0.547301709651947, 0.44122961163520813, 0.31716597080230713, 0.5183677673339844]
[0.5552852153778076, 0.5857468843460083, 0.4001559317111969, 0.27149248123168945, 0.5646634697914124]
[0.4518597424030304, 0.5791970491409302, 0.46875321865081787, 0.2937314808368683, 0.475487619638443]
[0.47505852580070496, 0.5651976466178894, 0.4443148374557495, 0.29101794958114624, 0.5109469294548035]
[0.5212976336479187, 0.5693432092666626, 0.44561803340911865, 0.25764787197113037, 0.5443859100341797]
[0.5000667572021484, 0.5604804158210754, 0.46987631916999817, 0.3069086968898773, 0.53901606798172]
[0.5584884881973267, 0.5898391604423523, 0.40468013286590576, 0.2763577997684479, 0.5554696321487427]
[0.5652031898498535, 0.5672285556793213, 0.42027390003204346, 0.26616522669792175, 0.5658067464828491]
[0.5462360382080078, 0.5881468653678894, 0.4231009781360626, 0.28235965967178345, 0.539649486541748]
[0.4540116488933563, 0.5125318765640259, 0.5221676230430603, 0.38245928287506104, 0.5079596042633057]
[0.3180121183395386, 0.5578329563140869, 0.4424208104610443, 0.31316128373146057, 0.44425398111343384]
[0.6159122586250305, 0.5786231160163879, 0.40984103083610535, 0.23395833373069763, 0.6008908152580261]
[0.5465309023857117, 0.5755384564399719, 0.4461231529712677, 0.30005985498428345, 0.5473886728286743]
[0.5385851263999939, 0.5800411701202393, 0.42864760756492615, 0.2667352259159088, 0.542360782623291]
[0.5244557857513428, 0.563626229763031, 0.4479086697101593, 0.2620309889316559, 0.5411162376403809]
[0.5135369896888733, 0.5636901259422302, 0.44059014320373535, 0.3036981225013733, 0.5054850578308105]
[0.5839201211929321, 0.5755581259727478, 0.4455702304840088, 0.28284165263175964, 0.5753181576728821]
[0.30681970715522766, 0.5372863411903381, 0.5207242965698242, 0.4926286041736603, 0.4889448583126068]
[0.39292794466018677, 0.5588476061820984, 0.47340646386146545, 0.29845842719078064, 0.45783767104148865]
[0.5502277612686157, 0.5461017489433289, 0.4530167877674103, 0.2908405363559723, 0.5403157472610474]
[0.5754026174545288, 0.5276433229446411, 0.449691504240036, 0.3127387464046478, 0.5717147588729858]
[0.43104320764541626, 0.5118719935417175, 0.5090149641036987, 0.43789294362068176, 0.4539925754070282]
[0.604537308216095, 0.5338814854621887, 0.42767778038978577, 0.281642884016037, 0.6026444435119629]
[0.5915437340736389, 0.5538078546524048, 0.39991873502731323, 0.27486079931259155, 0.5698241591453552]
[0.37804028391838074, 0.5669452548027039, 0.4482523500919342, 0.30846670269966125, 0.48214447498321533]
[0.458210289478302, 0.5544683933258057, 0.44287410378456116, 0.30665189027786255, 0.5102614760398865]
[0.30681970715522766, 0.5372863411903381, 0.5207242965698242, 0.4926286041736603, 0.4889448583126068]
[0.5111418962478638, 0.5703924894332886, 0.4330977499485016, 0.28292056918144226, 0.5231314301490784]
[0.5382819771766663, 0.5617827773094177, 0.44313549995422363, 0.278083473443985, 0.5394090414047241]
[0.594237744808197, 0.547904908657074, 0.43641597032546997, 0.2925422787666321, 0.5865925550460815]
[0.41924840211868286, 0.5530089139938354, 0.4287881851196289, 0.32200974225997925, 0.44802865386009216]
[0.30681970715522766, 0.5372863411903381, 0.5207242965698242, 0.4926286041736603, 0.4889448583126068]
[0.38125282526016235, 0.5918667316436768, 0.5010038018226624, 0.33995363116264343, 0.4349416494369507]
[0.5999861359596252, 0.5933322310447693, 0.4077848792076111, 0.23306898772716522, 0.587597668170929]
[0.5110368132591248, 0.5584744811058044, 0.43966391682624817, 0.28232133388519287, 0.5401792526245117]
[0.5864759087562561, 0.5751301646232605, 0.38082653284072876, 0.24478620290756226, 0.5958073139190674]
[0.5762355923652649, 0.5897135734558105, 0.3961047828197479, 0.24004152417182922, 0.5751980543136597]
[0.4662231206893921, 0.559682309627533, 0.4281029999256134, 0.26612529158592224, 0.47747328877449036]
[0.43104320764541626, 0.5118719935417175, 0.5090149641036987, 0.43789294362068176, 0.4539925754070282]
[0.5182850360870361, 0.5754183530807495, 0.4379759728908539, 0.28258898854255676, 0.5256324410438538]
[0.4788879156112671, 0.5665284991264343, 0.451202392578125, 0.318265825510025, 0.5179539918899536]
