0
【日刊体育】[Bigbang T.O.P巡演前晒自拍照“别样的帅气~”]12日T.O.P更新Instgram写道“MADE JAPAN DOME TOUR#MADE#日本巨蛋巡演今天开始~”并上传了一张自拍照.照片中T.O.P身穿帅气正装,凝视镜头,独特的发型引人注目.此外,Bigbang将于12~15日在日本东京巨蛋举行演唱会.
[0.48112550377845764, 0.5070862770080566, 0.5019350051879883, 0.35638460516929626, 0.4625990688800812]
[0.4927038252353668, 0.5859127044677734, 0.42566540837287903, 0.2690335214138031, 0.5518196821212769]
[0.5111286044120789, 0.5785702466964722, 0.4352065622806549, 0.2877109944820404, 0.547157347202301]
[0.5650871396064758, 0.5903312563896179, 0.41174986958503723, 0.25462770462036133, 0.5793408155441284]
[0.5500795841217041, 0.5467326641082764, 0.42956432700157166, 0.2835439145565033, 0.5614193677902222]
[0.4962526857852936, 0.561835765838623, 0.42213892936706543, 0.26167845726013184, 0.5238142013549805]
[0.47759827971458435, 0.5543709397315979, 0.4510514438152313, 0.3090459704399109, 0.5095035433769226]
[0.45440277457237244, 0.5420616865158081, 0.47098466753959656, 0.324673056602478, 0.4953295588493347]
[0.535548985004425, 0.5743044018745422, 0.4219232201576233, 0.27131181955337524, 0.5345061421394348]
[0.5746339559555054, 0.5797944068908691, 0.40340909361839294, 0.25002625584602356, 0.5888230204582214]
[0.4235506057739258, 0.5539522171020508, 0.4729453921318054, 0.3046647608280182, 0.4842233657836914]
[0.5650871396064758, 0.5903312563896179, 0.41174986958503723, 0.25462770462036133, 0.5793408155441284]
[0.43773508071899414, 0.5566216111183167, 0.4562847912311554, 0.32141366600990295, 0.4523738920688629]
[0.4859853684902191, 0.5800125598907471, 0.43896880745887756, 0.28860384225845337, 0.5231468081474304]
[0.535489559173584, 0.5966528654098511, 0.43234819173812866, 0.2714427709579468, 0.5446330308914185]
[0.5240079760551453, 0.591978132724762, 0.4248591661453247, 0.2757376730442047, 0.5452089905738831]
[0.526713490486145, 0.595822811126709, 0.4324859380722046, 0.28123894333839417, 0.5415129661560059]
[0.5212992429733276, 0.5936595797538757, 0.4176851809024811, 0.2593572437763214, 0.5516099333763123]
[0.5110394358634949, 0.5742622017860413, 0.4382425844669342, 0.2715192139148712, 0.5229822993278503]
[0.5462362766265869, 0.5861417055130005, 0.41136714816093445, 0.25874650478363037, 0.5761715173721313]
[0.4258693754673004, 0.5746743083000183, 0.4389563202857971, 0.30081117153167725, 0.5035833716392517]
[0.5171152949333191, 0.5678349137306213, 0.4252336621284485, 0.29409387707710266, 0.554501473903656]
[0.458680123090744, 0.5506728887557983, 0.44216763973236084, 0.3484686017036438, 0.4771324098110199]
[0.49608132243156433, 0.5553014874458313, 0.4385133683681488, 0.29638540744781494, 0.5399664044380188]
[0.539279580116272, 0.5486199855804443, 0.46578317880630493, 0.2967545688152313, 0.5609821081161499]
[0.4733135402202606, 0.5736703872680664, 0.4457804262638092, 0.3042960464954376, 0.5218150019645691]
[0.5028516054153442, 0.5786203145980835, 0.40956056118011475, 0.265262246131897, 0.539306104183197]
[0.4927038252353668, 0.5859127044677734, 0.42566540837287903, 0.2690335214138031, 0.5518196821212769]
[0.537537693977356, 0.5703909993171692, 0.39430034160614014, 0.262797474861145, 0.555252730846405]
[0.5089762806892395, 0.5783262848854065, 0.4210679829120636, 0.2827279269695282, 0.5493166446685791]
[0.4520181119441986, 0.5281245708465576, 0.4931459426879883, 0.3891087770462036, 0.5000659823417664]
[0.5169203877449036, 0.5575322508811951, 0.42221057415008545, 0.29069799184799194, 0.5475056767463684]
[0.5541602373123169, 0.5925105810165405, 0.4121483266353607, 0.2728063762187958, 0.5623020529747009]
[0.43926477432250977, 0.5698450207710266, 0.43026772141456604, 0.2593616545200348, 0.5008221864700317]
[0.4778119623661041, 0.5547018647193909, 0.42407891154289246, 0.28640568256378174, 0.47176170349121094]
[0.4927038252353668, 0.5859127044677734, 0.42566540837287903, 0.2690335214138031, 0.5518196821212769]
[0.47535064816474915, 0.5457930564880371, 0.4298393428325653, 0.3059825003147125, 0.5181967616081238]
[0.5440576076507568, 0.5860822200775146, 0.4086034297943115, 0.255027711391449, 0.5671401023864746]
[0.4087757468223572, 0.5200011730194092, 0.5073097348213196, 0.3709540367126465, 0.47869011759757996]
[0.5231987833976746, 0.5869758129119873, 0.40974822640419006, 0.28721967339515686, 0.5422871708869934]
[0.5677599310874939, 0.5864102840423584, 0.4033512771129608, 0.2618982493877411, 0.5522372722625732]
[0.5517198443412781, 0.5796482563018799, 0.41994020342826843, 0.2612878084182739, 0.55949866771698]
[0.47466185688972473, 0.5588598251342773, 0.45464468002319336, 0.2988485097885132, 0.5080201625823975]
[0.5354865789413452, 0.5888907313346863, 0.41922876238822937, 0.2605830132961273, 0.5253303050994873]
[0.5214805006980896, 0.5196002125740051, 0.47501879930496216, 0.3390560746192932, 0.5189416408538818]
[0.49819183349609375, 0.5695810914039612, 0.4092336595058441, 0.28381651639938354, 0.5330636501312256]
[0.4938731789588928, 0.5713171362876892, 0.4891114830970764, 0.3368745744228363, 0.5216166973114014]
[0.4381748139858246, 0.5690821409225464, 0.47162801027297974, 0.3148493766784668, 0.5029023885726929]
[0.5479736328125, 0.5776789784431458, 0.39623787999153137, 0.2407912015914917, 0.5766944885253906]
[0.5193607807159424, 0.5759161114692688, 0.43762844800949097, 0.29066407680511475, 0.5419229865074158]
[0.4375351369380951, 0.5263824462890625, 0.45628103613853455, 0.28995952010154724, 0.4579482972621918]
[0.46586471796035767, 0.5821920037269592, 0.43166354298591614, 0.28346899151802063, 0.49986210465431213]
[0.47058093547821045, 0.5875345468521118, 0.43889760971069336, 0.28403761982917786, 0.5032793283462524]
[0.49549180269241333, 0.5609843134880066, 0.45611757040023804, 0.3155983090400696, 0.5428287982940674]
[0.41859328746795654, 0.5392583012580872, 0.4742724299430847, 0.3401469886302948, 0.4989240765571594]
[0.5495244860649109, 0.5828710198402405, 0.4218422472476959, 0.2753347158432007, 0.5518859028816223]
[0.5101564526557922, 0.58427494764328, 0.43539515137672424, 0.2920955419540405, 0.5274337530136108]
[0.4489312767982483, 0.5849416851997375, 0.4471285939216614, 0.3009995222091675, 0.5102107524871826]
[0.49132251739501953, 0.5188718438148499, 0.43207642436027527, 0.28728634119033813, 0.5355173349380493]
[0.5590024590492249, 0.5700424313545227, 0.4120473861694336, 0.27966028451919556, 0.5776188373565674]
[0.49430912733078003, 0.5935894846916199, 0.4251716732978821, 0.28885379433631897, 0.5311291813850403]
[0.4998210072517395, 0.5743890404701233, 0.43428942561149597, 0.28886401653289795, 0.5120623707771301]
[0.5500097274780273, 0.571600079536438, 0.40389132499694824, 0.26812323927879333, 0.5750402808189392]
[0.5861367583274841, 0.5833029747009277, 0.38102731108665466, 0.23090127110481262, 0.5755019187927246]
[0.5780516266822815, 0.5497624278068542, 0.40383943915367126, 0.25746670365333557, 0.5834029316902161]
[0.5274863839149475, 0.5335053205490112, 0.4870106279850006, 0.33218806982040405, 0.5588223338127136]
[0.5590024590492249, 0.5700424313545227, 0.4120473861694336, 0.27966028451919556, 0.5776188373565674]
[0.43843716382980347, 0.5501427054405212, 0.4584742486476898, 0.3142523765563965, 0.44327014684677124]
[0.5019383430480957, 0.5566719174385071, 0.44414785504341125, 0.31249597668647766, 0.5225147604942322]
[0.502291738986969, 0.5722087025642395, 0.4330686032772064, 0.29690346121788025, 0.5164940357208252]
[0.5151181221008301, 0.5843920707702637, 0.4140504002571106, 0.25586044788360596, 0.5625928640365601]
[0.4882050156593323, 0.5269213318824768, 0.4381208121776581, 0.29758691787719727, 0.5231164693832397]
[0.5764101147651672, 0.5559309124946594, 0.4143679440021515, 0.2753860056400299, 0.5362380743026733]
[0.5183862447738647, 0.5488321185112, 0.4219275414943695, 0.2908530831336975, 0.5467174053192139]
[0.4749000668525696, 0.5645659565925598, 0.45879581570625305, 0.3274966776371002, 0.48096221685409546]
[0.5323718190193176, 0.5599456429481506, 0.4502469599246979, 0.3299485743045807, 0.5565351843833923]
[0.42834892868995667, 0.5431997776031494, 0.4720190763473511, 0.32728663086891174, 0.4792669713497162]
[0.4743432104587555, 0.5682761073112488, 0.4032340943813324, 0.2705846130847931, 0.5051616430282593]
[0.4927038252353668, 0.5859127044677734, 0.42566540837287903, 0.2690335214138031, 0.5518196821212769]
[0.5664429068565369, 0.5860274434089661, 0.40274059772491455, 0.2445141077041626, 0.5854437947273254]
[0.5555523633956909, 0.5790348052978516, 0.4138000011444092, 0.25934433937072754, 0.5477373003959656]
[0.5002451539039612, 0.5763335824012756, 0.41102898120880127, 0.3050056993961334, 0.5012099146842957]
[0.6010587811470032, 0.5708707571029663, 0.38778313994407654, 0.23565813899040222, 0.578384518623352]
[0.502217173576355, 0.5805997848510742, 0.4406561553478241, 0.29031237959861755, 0.5333575010299683]
[0.48490598797798157, 0.5376269221305847, 0.45148658752441406, 0.31783047318458557, 0.49068933725357056]
[0.5650871396064758, 0.5903312563896179, 0.41174986958503723, 0.25462770462036133, 0.5793408155441284]
[0.5928364992141724, 0.5709262490272522, 0.3911421298980713, 0.23534011840820312, 0.5740526914596558]
[0.516970694065094, 0.5746989250183105, 0.4313620328903198, 0.312325656414032, 0.5503420829772949]
[0.505958616733551, 0.5891793966293335, 0.4250129461288452, 0.28432849049568176, 0.5478891730308533]
[0.4572797119617462, 0.5669618844985962, 0.4402559995651245, 0.28787627816200256, 0.47995370626449585]
[0.4615873694419861, 0.5474196076393127, 0.4408601224422455, 0.3113555908203125, 0.4768350422382355]
[0.36176440119743347, 0.5356270670890808, 0.4811549782752991, 0.3456708788871765, 0.4269849956035614]
[0.47905775904655457, 0.5658326148986816, 0.43889808654785156, 0.3133559226989746, 0.5020161867141724]
[0.37122970819473267, 0.5373984575271606, 0.4868119955062866, 0.3712647259235382, 0.43574440479278564]
[0.5440576076507568, 0.5860822200775146, 0.4086034297943115, 0.255027711391449, 0.5671401023864746]
[0.3969458341598511, 0.5456564426422119, 0.4430723786354065, 0.3112963140010834, 0.43454211950302124]
[0.5195041298866272, 0.5118448138237, 0.45012322068214417, 0.3306935131549835, 0.5453671813011169]
[0.5601984262466431, 0.5807161331176758, 0.4093281030654907, 0.26993945240974426, 0.5408610105514526]
[0.5015120506286621, 0.5734321475028992, 0.4335998296737671, 0.280849814414978, 0.514307975769043]
