0
名字真是门学问,下载一堆姓名学app,买了些姓名五行书,希望他们中文名或英文名能有关联性,看来我要好好开始研究了 你有什么好建议呢?
[0.5021060705184937, 0.5331310033798218, 0.4912874698638916, 0.40037801861763, 0.5248167514801025]
[0.5706585049629211, 0.5825572609901428, 0.4181407690048218, 0.2525762617588043, 0.5648596286773682]
[0.4972579777240753, 0.5537415742874146, 0.44971728324890137, 0.311705082654953, 0.5187876224517822]
[0.5438856482505798, 0.5929805040359497, 0.418680876493454, 0.27237069606781006, 0.5508289337158203]
[0.5747843384742737, 0.5750569701194763, 0.42277440428733826, 0.2700469493865967, 0.5368422865867615]
[0.4287439286708832, 0.5647998452186584, 0.45856958627700806, 0.30366331338882446, 0.4587826728820801]
[0.45753172039985657, 0.5573551654815674, 0.4493144452571869, 0.33973002433776855, 0.49532732367515564]
[0.5795387625694275, 0.5872072577476501, 0.40479588508605957, 0.2530028223991394, 0.5617079138755798]
[0.5029096007347107, 0.5720865726470947, 0.4309339225292206, 0.2720889747142792, 0.4999077022075653]
[0.5558644533157349, 0.5855217576026917, 0.43652623891830444, 0.2765921950340271, 0.5573951601982117]
[0.43009045720100403, 0.5303966403007507, 0.4848184585571289, 0.365271657705307, 0.47116073966026306]
[0.42369064688682556, 0.5476911664009094, 0.45805495977401733, 0.3391859233379364, 0.46052032709121704]
[0.5085080862045288, 0.5806136131286621, 0.41033604741096497, 0.2791031002998352, 0.5185788869857788]
[0.5029078125953674, 0.5781313180923462, 0.4283396005630493, 0.2762492597103119, 0.5255268812179565]
[0.49588969349861145, 0.516425609588623, 0.4879092574119568, 0.36565035581588745, 0.5224276781082153]
[0.5623445510864258, 0.5854034423828125, 0.4168854355812073, 0.28975674510002136, 0.5524055361747742]
[0.5273897051811218, 0.5763978958129883, 0.4424993097782135, 0.3044441044330597, 0.554492175579071]
[0.5570210814476013, 0.5770767331123352, 0.41300955414772034, 0.24804851412773132, 0.5668314099311829]
[0.46867281198501587, 0.5579227209091187, 0.474634051322937, 0.3569268584251404, 0.5171078443527222]
[0.4802930951118469, 0.5558318495750427, 0.43803808093070984, 0.2877923250198364, 0.5251353979110718]
[0.4417654275894165, 0.5332713723182678, 0.4833076298236847, 0.383267879486084, 0.4568745493888855]
[0.5086446404457092, 0.5462377667427063, 0.4621993601322174, 0.30369865894317627, 0.5543693900108337]
[0.5697562098503113, 0.5918821096420288, 0.4424479007720947, 0.2689931094646454, 0.5583157539367676]
[0.5657331943511963, 0.5559403300285339, 0.4016837179660797, 0.26166972517967224, 0.5617419481277466]
[0.43183743953704834, 0.5557458996772766, 0.48522821068763733, 0.3553563952445984, 0.4700247049331665]
[0.5263757705688477, 0.5701202750205994, 0.46624109148979187, 0.324036568403244, 0.5439904928207397]
[0.4194490313529968, 0.5431878566741943, 0.48655426502227783, 0.3549095094203949, 0.4667631685733795]
[0.5686641931533813, 0.5751140713691711, 0.3915463387966156, 0.24717386066913605, 0.5854529738426208]
[0.4511774480342865, 0.5640069842338562, 0.43213126063346863, 0.2866175174713135, 0.48366743326187134]
[0.4854629635810852, 0.5415489077568054, 0.4621075987815857, 0.34839707612991333, 0.47262895107269287]
[0.44389674067497253, 0.5548766255378723, 0.4598008096218109, 0.3088566064834595, 0.4738404452800751]
[0.4734540581703186, 0.5562421083450317, 0.4527626037597656, 0.3484683036804199, 0.4914282262325287]
[0.45928916335105896, 0.544759213924408, 0.48401615023612976, 0.3749149441719055, 0.5080357789993286]
[0.5019042491912842, 0.5422207117080688, 0.49496299028396606, 0.36840617656707764, 0.5231963396072388]
[0.4782000482082367, 0.5290678143501282, 0.4844127297401428, 0.4200754761695862, 0.4814167618751526]
[0.4455793499946594, 0.5470129251480103, 0.49354088306427, 0.329842209815979, 0.48595017194747925]
[0.37553614377975464, 0.5208661556243896, 0.4861157536506653, 0.35565686225891113, 0.4396621584892273]
[0.4737604856491089, 0.5704976916313171, 0.43470802903175354, 0.2520304024219513, 0.5166013240814209]
[0.4647427797317505, 0.5855805277824402, 0.4562433063983917, 0.29818397760391235, 0.5240083932876587]
[0.5227950215339661, 0.5754513740539551, 0.44326624274253845, 0.28098487854003906, 0.5213171243667603]
