0
【河南南阳15岁学生猝死课堂 父亲发文追思】11月10日早上，15岁男童云博因心脏骤停在课堂突然昏迷,抢救无效死亡。而头天晚上他写作业写到12点多,早上6:20起床。父亲写道：爸爸深深忏悔，每天睡眠那么少，还无形中增加你的学习压力……,爸爸知道你累了,从此再也没有压力了。
[0.565025806427002, 0.5223166346549988, 0.47259706258773804, 0.34269216656684875, 0.5968233942985535]
[0.5109380483627319, 0.5572447180747986, 0.4431082308292389, 0.2995554506778717, 0.5580011606216431]
[0.4109784662723541, 0.5347964763641357, 0.4740448296070099, 0.3876968026161194, 0.48853299021720886]
[0.504732072353363, 0.5939064621925354, 0.42922669649124146, 0.27768275141716003, 0.5352389216423035]
[0.4626794457435608, 0.5374836325645447, 0.5039060711860657, 0.3980903625488281, 0.4882374107837677]
[0.5201122164726257, 0.5680326223373413, 0.4213915467262268, 0.2651299834251404, 0.524200439453125]
[0.4962436556816101, 0.5454521775245667, 0.44421690702438354, 0.30503222346305847, 0.501408040523529]
[0.4848514497280121, 0.5426382422447205, 0.43983402848243713, 0.2988087832927704, 0.48944786190986633]
[0.4606105387210846, 0.5474531650543213, 0.4189854860305786, 0.2832675874233246, 0.49886438250541687]
[0.5149581432342529, 0.5614272356033325, 0.4348476231098175, 0.26744404435157776, 0.542319118976593]
[0.49407774209976196, 0.5349195003509521, 0.4830628037452698, 0.3650490939617157, 0.5210720896720886]
[0.4939066767692566, 0.5544111728668213, 0.4529624879360199, 0.3496190309524536, 0.47668835520744324]
[0.53749680519104, 0.6002470850944519, 0.4247446358203888, 0.27404746413230896, 0.5643245577812195]
[0.4538084864616394, 0.5681665539741516, 0.447286993265152, 0.31553784012794495, 0.4862501621246338]
[0.5376777052879333, 0.56699538230896, 0.42695608735084534, 0.30196645855903625, 0.5512259006500244]
[0.5063759088516235, 0.5926801562309265, 0.43039199709892273, 0.27327466011047363, 0.5263497233390808]
[0.4892980456352234, 0.5205817222595215, 0.4653065502643585, 0.3439099192619324, 0.5358870625495911]
[0.48379552364349365, 0.5937032699584961, 0.41920071840286255, 0.2830924987792969, 0.4925927221775055]
[0.5539151430130005, 0.5951700210571289, 0.4227983355522156, 0.27495962381362915, 0.5727736353874207]
[0.582528293132782, 0.5664161443710327, 0.3860747814178467, 0.24148616194725037, 0.5956999063491821]
[0.5069220066070557, 0.5793817043304443, 0.4212264120578766, 0.28505292534828186, 0.5402897000312805]
[0.49948424100875854, 0.5187628865242004, 0.5017557144165039, 0.4222903251647949, 0.5424287915229797]
[0.5565143823623657, 0.5689957141876221, 0.4214422404766083, 0.2809295058250427, 0.568881630897522]
