0
娃娃卖衣服啦！！！双11快来抢福利吧，第1,11,111,1111名通通免单！还有新品7折领券再包邮！转发此条微博 三位好友，抽取6名幸运小仙女，新款衣服、300元素颜系列大礼包、娃娃亲笔签名著作集（四本）三选一任性送，任性双11。更多惊喜请戳店铺
[0.49784010648727417, 0.5283240079879761, 0.4706670641899109, 0.36724990606307983, 0.5230861902236938]
[0.49461162090301514, 0.569106936454773, 0.45219647884368896, 0.31280627846717834, 0.5063099265098572]
[0.5070725679397583, 0.5795678496360779, 0.4309682846069336, 0.25872695446014404, 0.538472592830658]
[0.5071393847465515, 0.577996015548706, 0.42337292432785034, 0.2770664095878601, 0.5382084250450134]
[0.5106865167617798, 0.566540539264679, 0.4668707251548767, 0.32327356934547424, 0.5190364122390747]
[0.47902294993400574, 0.5621340870857239, 0.4379998445510864, 0.30358707904815674, 0.5198675394058228]
[0.547613799571991, 0.589184582233429, 0.4002147316932678, 0.2538668215274811, 0.5726746916770935]
[0.45355427265167236, 0.5474086403846741, 0.4906775653362274, 0.3437069356441498, 0.5042146444320679]
[0.4707656502723694, 0.5429313778877258, 0.4522521495819092, 0.3521353602409363, 0.49037477374076843]
[0.5238559246063232, 0.5681883692741394, 0.4290097951889038, 0.3008403480052948, 0.5120459794998169]
[0.4681108891963959, 0.5550407767295837, 0.460432767868042, 0.31198933720588684, 0.515684962272644]
[0.4707656502723694, 0.5429313778877258, 0.4522521495819092, 0.3521353602409363, 0.49037477374076843]
[0.3072151839733124, 0.5424625873565674, 0.45635420083999634, 0.3181184232234955, 0.42215102910995483]
[0.5060109496116638, 0.5802968144416809, 0.4351358115673065, 0.3113713562488556, 0.5279992818832397]
[0.48364394903182983, 0.586725115776062, 0.40330520272254944, 0.24945805966854095, 0.536761462688446]
[0.49705272912979126, 0.5739470720291138, 0.4208008646965027, 0.29042819142341614, 0.5260356068611145]
[0.5145465135574341, 0.5382097959518433, 0.43991467356681824, 0.32002583146095276, 0.5490319132804871]
[0.5040952563285828, 0.5778651237487793, 0.42730486392974854, 0.29412713646888733, 0.5112854242324829]
[0.4886491000652313, 0.554694652557373, 0.4673349857330322, 0.36875084042549133, 0.5327737331390381]
[0.5302743315696716, 0.5934868454933167, 0.4131389558315277, 0.277565598487854, 0.5727539658546448]
[0.5614355206489563, 0.5910562872886658, 0.4117858409881592, 0.24499928951263428, 0.5670064091682434]
[0.48453783988952637, 0.5609251260757446, 0.430753618478775, 0.3220759928226471, 0.5030044317245483]
[0.490580677986145, 0.5620518922805786, 0.4095029830932617, 0.2763552963733673, 0.5354704260826111]
[0.4668869376182556, 0.5759913325309753, 0.47044098377227783, 0.3284943699836731, 0.484541654586792]
[0.4919223487377167, 0.5552729964256287, 0.437101274728775, 0.3182947039604187, 0.5058757662773132]
[0.4266622066497803, 0.5522065758705139, 0.4461310803890228, 0.35882073640823364, 0.4651336967945099]
[0.5439815521240234, 0.5966054797172546, 0.44408127665519714, 0.29661402106285095, 0.5544206500053406]
[0.5452052354812622, 0.577560544013977, 0.4192991554737091, 0.29246512055397034, 0.5400241017341614]
[0.5246286988258362, 0.5769050717353821, 0.41524821519851685, 0.2806040346622467, 0.5275120735168457]
[0.4638274013996124, 0.5418763160705566, 0.44019779562950134, 0.29804912209510803, 0.47882768511772156]
[0.47425708174705505, 0.5732024908065796, 0.4354088008403778, 0.288888156414032, 0.5129378437995911]
[0.5514292120933533, 0.5731301307678223, 0.4272668957710266, 0.3021008372306824, 0.5463388562202454]
[0.5247369408607483, 0.552101731300354, 0.45766645669937134, 0.3247308135032654, 0.5117459297180176]
